Entity,Code,Year,"Current number of cases of hiv/aids, in both sexes aged all ages"
African Region (WHO),,1990,5802845.5
African Region (WHO),,1995,13722725.0
African Region (WHO),,2000,19525452.0
African Region (WHO),,2005,20914272.0
African Region (WHO),,2010,21861362.0
African Region (WHO),,2015,24271310.0
African Region (WHO),,2019,25985840.0
Eastern Mediterranean Region (WHO),,1990,23417.564
Eastern Mediterranean Region (WHO),,1995,65059.402
Eastern Mediterranean Region (WHO),,2000,132189.06
Eastern Mediterranean Region (WHO),,2005,170236.17
Eastern Mediterranean Region (WHO),,2010,202105.55
Eastern Mediterranean Region (WHO),,2015,253606.73
Eastern Mediterranean Region (WHO),,2019,315622.4
European Region (WHO),,1990,371789.22
European Region (WHO),,1995,476456.72
European Region (WHO),,2000,641123.4
European Region (WHO),,2005,827747.2
European Region (WHO),,2010,1052397.0
European Region (WHO),,2015,1598529.2
European Region (WHO),,2019,2221358.2
Region of the Americas (WHO),,1990,1345776.6
Region of the Americas (WHO),,1995,1746083.9
Region of the Americas (WHO),,2000,2071267.0
Region of the Americas (WHO),,2005,2460577.2
Region of the Americas (WHO),,2010,2886586.8
Region of the Americas (WHO),,2015,3419100.5
Region of the Americas (WHO),,2019,3953138.5
South-East Asia Region (WHO),,1990,155054.72
South-East Asia Region (WHO),,1995,1291072.1
South-East Asia Region (WHO),,2000,2818586.8
South-East Asia Region (WHO),,2005,3070673.8
South-East Asia Region (WHO),,2010,2791316.5
South-East Asia Region (WHO),,2015,2786629.2
South-East Asia Region (WHO),,2019,2915471.0
Western Pacific Region (WHO),,1990,108986.25
Western Pacific Region (WHO),,1995,283382.5
Western Pacific Region (WHO),,2000,519428.53
Western Pacific Region (WHO),,2005,803919.3
Western Pacific Region (WHO),,2010,1070792.2
Western Pacific Region (WHO),,2015,1266580.6
Western Pacific Region (WHO),,2019,1420246.6
