Entity,Code,Year,Nuclear per capita (kWh - equivalent)
China,CHN,1965,0.0
China,CHN,1970,0.0
China,CHN,1980,0.0
China,CHN,1990,0.0
China,CHN,2000,37.56943
China,CHN,2010,147.65753
China,CHN,2022,733.05255
France,FRA,1965,52.840233
France,FRA,1970,320.74222
France,FRA,1980,3235.6768
France,FRA,1990,15797.975
France,FRA,2000,20080.443
France,FRA,2010,18277.611
France,FRA,2022,11409.492
Germany,DEU,1965,4.366126
Germany,DEU,1970,235.3524
Germany,DEU,1980,2027.784
Germany,DEU,1990,5451.9336
Germany,DEU,2000,5901.283
Germany,DEU,2010,4603.274
Germany,DEU,2022,1041.2916
India,IND,1965,0.0
India,IND,1970,6.6580534
India,IND,1980,9.969776
India,IND,1990,20.846111
India,IND,2000,42.225086
India,IND,2010,49.554253
India,IND,2022,81.54943
Japan,JPN,1965,0.71316653
Japan,JPN,1970,123.3072
Japan,JPN,1980,1992.3893
Japan,JPN,1990,4463.702
Japan,JPN,2000,7141.046
Japan,JPN,2010,6078.336
Japan,JPN,2022,1044.9875
South Korea,KOR,1965,0.0
South Korea,KOR,1970,0.0
South Korea,KOR,1980,258.48434
South Korea,KOR,1990,3401.3208
South Korea,KOR,2000,6608.1553
South Korea,KOR,2010,8107.9756
South Korea,KOR,2022,8500.325
Sweden,SWE,1965,6.5854654
Sweden,SWE,1970,19.794064
Sweden,SWE,1980,9042.62
Sweden,SWE,1990,22632.98
Sweden,SWE,2000,18333.246
Sweden,SWE,2010,16388.729
Sweden,SWE,2022,12223.56
