Entity,Code,Year,"Deaths - Fire, heat, and hot substances - Sex: Both - Age: Age-standardized (Rate)"
Brazil,BRA,1990,2.32
Brazil,BRA,1995,1.85
Brazil,BRA,2000,1.47
Brazil,BRA,2005,1.13
Brazil,BRA,2010,0.98
Brazil,BRA,2015,0.83
Brazil,BRA,2019,0.75
China,CHN,1990,1.9
China,CHN,1995,1.64
China,CHN,2000,1.32
China,CHN,2005,1.15
China,CHN,2010,0.95
China,CHN,2015,0.79
China,CHN,2019,0.72
Libya,LBY,1990,3.74
Libya,LBY,1995,3.31
Libya,LBY,2000,3.05
Libya,LBY,2005,2.39
Libya,LBY,2010,2.47
Libya,LBY,2015,2.25
Libya,LBY,2019,2.19
New Zealand,NZL,1990,1.05
New Zealand,NZL,1995,0.92
New Zealand,NZL,2000,0.69
New Zealand,NZL,2005,0.56
New Zealand,NZL,2010,0.46
New Zealand,NZL,2015,0.4
New Zealand,NZL,2019,0.39
Spain,ESP,1990,0.77
Spain,ESP,1995,0.57
Spain,ESP,2000,0.49
Spain,ESP,2005,0.5
Spain,ESP,2010,0.32
Spain,ESP,2015,0.29
Spain,ESP,2019,0.27
United States,USA,1990,1.99
United States,USA,1995,1.59
United States,USA,2000,1.34
United States,USA,2005,1.16
United States,USA,2010,0.92
United States,USA,2015,0.92
United States,USA,2019,0.82
World,OWID_WRL,1990,2.51
World,OWID_WRL,1995,2.46
World,OWID_WRL,2000,2.26
World,OWID_WRL,2005,2.05
World,OWID_WRL,2010,1.74
World,OWID_WRL,2015,1.53
World,OWID_WRL,2019,1.44
