Entity,Code,Year,Value added growth (%) - USA,Emissions growth (%) - USA
Air Transport,,2009,12.4,-2.2
"Coke, Refined Petroleum & Nuclear Fuel",,2009,158.8,-11.2
Construction,,2009,38.6,-24.7
Health & Social Work,,2009,67.2,-7.2
Hotels & Restaurants,,2009,50.8,-7.5
"IT, Research & Development",,2009,82.8,-7.5
Leather & Footwear,,2009,-61.5,-81.1
"Manufacturing, Nec, Recycling",,2009,3.5,-51.2
Mining & Quarrying,,2009,127.7,-10.2
Post & Telecommunications,,2009,22.4,50.8
"Pulp, Paper, & Printing",,2009,-6.8,-8.0
Rubber & Plastics,,2009,-15.0,-24.8
Supporting & Auxiliary Transport,,2009,45.4,139.5
Wholesale & Commission Trade,,2009,25.1,-30.9
Wood & Products,,2009,-35.9,-6.3
