Entity,Code,Year,"Death rate per 100,000 people - Cause: Alzheimer disease and other dementias - Sex: Both sexes - Age group: ALLAges"
Finland,FIN,2000,68.38
Finland,FIN,2005,83.3
Finland,FIN,2010,118.24
Finland,FIN,2015,163.03
Finland,FIN,2019,201.01
Sweden,SWE,2000,50.0
Sweden,SWE,2005,64.84
Sweden,SWE,2010,75.43
Sweden,SWE,2015,92.25
Sweden,SWE,2019,109.17
United Kingdom,GBR,2000,20.59
United Kingdom,GBR,2005,36.01
United Kingdom,GBR,2010,48.26
United Kingdom,GBR,2015,115.35
United Kingdom,GBR,2019,145.38
