Entity,Code,Year,Cereals | 00001717 || Yield | 005419 || tonnes per hectare,Nutrient nitrogen N (total) | 00003102 || Use per area of cropland | 005159 || Kilograms per hectare,Continent
Afghanistan,AFG,2020,1.9799,5.33,
Africa,,2020,1.7091625,,
Africa (FAO),,2020,1.7091999,16.31,
Albania,ALB,2020,5.2092,47.38,
Algeria,DZA,2020,1.5203999,8.24,
Americas (FAO),,2020,6.0522,70.9,
Angola,AGO,2020,0.99249995,4.58,
Antigua and Barbuda,ATG,2020,3.8,0.33,
Armenia,ARM,2020,2.0558,178.78,
Asia,,2020,4.2788033,,
Asia (FAO),,2020,4.2785997,111.42,
Australia,AUS,2020,1.6507,43.15,
Austria,AUT,2020,7.3863997,76.72,
Azerbaijan,AZE,2020,3.2273,90.11,
Barbados,BRB,2020,2.8179998,21.9,
Belgium,BEL,2020,8.4306,196.99,
Benin,BEN,2020,1.4327999,16.56,
Bhutan,BTN,2020,3.4394999,8.02,
Botswana,BWA,2020,1.0346999,38.16,
Burundi,BDI,2020,1.2616999,4.44,
Cambodia,KHM,2020,3.4815,25.68,
Central African Republic,CAF,2020,0.85899997,0.11,
China,CHN,2020,6.3134,190.85,
Cuba,CUB,2020,2.5723,11.24,
Cyprus,CYP,2020,2.3685,61.22,
Eastern Africa (FAO),,2020,2.0439,16.07,
Eritrea,ERI,2020,0.64,5.04,
Estonia,EST,2020,4.4115,59.35,
Europe,,2020,4.345045,,
Gabon,GAB,2020,1.5885999,5.43,
Gambia,GMB,2020,0.50189996,0.05,
Georgia,GEO,2020,2.6464999,100.94,
Ghana,GHA,2020,2.4055998,21.99,
Guinea,GIN,2020,1.3237,1.86,
Jamaica,JAM,2020,1.1143,18.09,
Kuwait,KWT,2020,13.3931,178.57,
Madagascar,MDG,2020,2.4691,5.31,
Malaysia,MYS,2020,3.7064,46.69,
Mauritius,MUS,2020,8.9425,71.57,
Mongolia,MNG,2020,1.2185999,32.07,
Morocco,MAR,2020,0.7474,22.49,
Mozambique,MOZ,2020,0.6721,8.05,
Namibia,NAM,2020,0.42949998,3.37,
Nepal,NPL,2020,3.1963,56.85,
Niger,NER,2020,0.5602,0.34,
North America,,2020,6.6374755,,
Oceania,,2020,1.7034279,,
Oman,OMN,2020,18.8351,95.28,
South America,,2020,5.067816,,
Sudan,SDN,2020,0.48959997,5.68,
Togo,TGO,2020,1.16,1.24,
Uganda,UGA,2020,2.587,0.85,
United Arab Emirates,ARE,2020,25.980299,168.67,
Uruguay,URY,2020,4.9641,98.89,
Yemen,YEM,2020,0.86109996,6.36,
