Entity,Code,Year,"Deaths that are from all causes attributed to household air pollution from solid fuels per 100,000 people, in both sexes aged age-standardized"
Belgium,BEL,1990,0.29109645
Belgium,BEL,1995,0.17815895
Belgium,BEL,2000,0.117911175
Belgium,BEL,2005,0.07095935
Belgium,BEL,2010,0.042469274
Belgium,BEL,2015,0.02829054
Belgium,BEL,2019,0.022547927
Northern Mariana Islands,MNP,1990,29.26075
Northern Mariana Islands,MNP,1995,16.615896
Northern Mariana Islands,MNP,2000,13.04645
Northern Mariana Islands,MNP,2005,11.150618
Northern Mariana Islands,MNP,2010,12.188908
Northern Mariana Islands,MNP,2015,14.831081
Northern Mariana Islands,MNP,2019,11.2969885
Thailand,THA,1990,65.297554
Thailand,THA,1995,50.86304
Thailand,THA,2000,34.314816
Thailand,THA,2005,23.142937
Thailand,THA,2010,15.372499
Thailand,THA,2015,10.332967
Thailand,THA,2019,7.67764
