Entity,Code,Year,Wind (TWh - equivalent)
Brazil,BRA,1990,0.0
Brazil,BRA,2000,0.002957
Brazil,BRA,2010,6.0412083
Brazil,BRA,2022,212.8245
China,CHN,1980,0.0
China,CHN,1990,0.0059737223
China,CHN,2000,1.7443249
China,CHN,2010,137.11253
China,CHN,2022,1988.4497
India,IND,1965,0.0
India,IND,1970,0.0
India,IND,1980,0.0
India,IND,1990,0.08960583
India,IND,2000,4.677957
India,IND,2010,54.00277
India,IND,2022,182.61719
Portugal,PRT,1965,0.0
Portugal,PRT,1970,0.0
Portugal,PRT,1980,0.0
Portugal,PRT,1990,0.0028375275
Portugal,PRT,2000,0.49677414
Portugal,PRT,2010,25.485365
Portugal,PRT,2022,34.76469
Spain,ESP,1965,0.0
Spain,ESP,1970,0.0
Spain,ESP,1980,0.0
Spain,ESP,1990,0.041397776
Spain,ESP,2000,13.977688
Spain,ESP,2010,121.24105
Spain,ESP,2022,163.47594
United Kingdom,GBR,1965,0.0
United Kingdom,GBR,1970,0.0
United Kingdom,GBR,1980,0.0
United Kingdom,GBR,1990,0.026612887
United Kingdom,GBR,2000,2.7973118
United Kingdom,GBR,2010,28.548616
United Kingdom,GBR,2022,208.99315
