Entity,Code,Year,60% of the median - Share of population in poverty
Brazil,BRA,1981,30.569172
Brazil,BRA,1985,30.487898
Brazil,BRA,1990,32.16127
Brazil,BRA,1995,30.933636
Brazil,BRA,2005,30.419308
Brazil,BRA,2015,28.380533
Brazil,BRA,2021,28.916967
Luxembourg,LUX,1985,12.478566
Luxembourg,LUX,1990,13.737973
Luxembourg,LUX,1995,13.730343
Luxembourg,LUX,2000,15.73618
Luxembourg,LUX,2005,16.598705
Luxembourg,LUX,2010,18.39946
Luxembourg,LUX,2015,18.557983
Zambia,ZMB,2010,26.6006
Zambia,ZMB,2015,31.159517
