Entity,Code,Year,Coefficient of Variation (CV) of caloric intake,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2020,,,1360677453.0,
Angola,AGO,2020,0.35,6032.275,33428490.0,
Argentina,ARG,2020,0.29,19685.217,45036032.0,
Asia,,2020,,,4663086623.0,
Bangladesh,BGD,2020,0.25,5591.374,167420944.0,
Bermuda,BMU,2020,0.24,76117.805,64051.0,
Bolivia,BOL,2020,0.24,7679.933,11936169.0,
Burkina Faso,BFA,2020,0.4,2093.7336,21522632.0,
Burundi,BDI,2020,0.28,711.3553,12220229.0,
Cameroon,CMR,2020,0.24,3665.5105,26491090.0,
Chad,TCD,2020,0.4,1489.1868,16644707.0,
China,CHN,2020,0.19,16296.779,1424929792.0,
Comoros,COM,2020,0.26,3222.374,806168.0,
Democratic Republic of Congo,COD,2020,0.29,1044.0712,92853168.0,
Ecuador,ECU,2020,0.27,10356.975,17588596.0,
Egypt,EGY,2020,0.32,11380.847,107465128.0,
Ethiopia,ETH,2020,0.32,2253.2358,117190920.0,
Europe,,2020,,,747462669.0,
Fiji,FJI,2020,0.24,10966.925,920430.0,
Germany,DEU,2020,0.2,51840.33,83328992.0,
Guatemala,GTM,2020,0.35,8390.223,17362716.0,
Guinea,GIN,2020,0.34,2604.1172,13205157.0,
India,IND,2020,0.29,6114.0317,1396387072.0,
Indonesia,IDN,2020,0.28,11515.74,271857984.0,
Iran,IRN,2020,0.27,14432.362,87290192.0,
Iraq,IRQ,2020,0.4,8919.798,42556988.0,
Ireland,IRL,2020,0.21,91099.75,4946123.0,
Italy,ITA,2020,0.2,39065.28,59500576.0,
Japan,JPN,2020,0.17,39935.465,125244760.0,
Kazakhstan,KAZ,2020,0.25,25361.508,18979250.0,
Kuwait,KWT,2020,0.26,43922.63,4360451.0,
Lebanon,LBN,2020,0.31,13780.958,5662924.0,
Lesotho,LSO,2020,0.27,2292.1953,2254104.0,
Macao,MAC,2020,0.3,55158.71,676287.0,
Madagascar,MDG,2020,0.28,1436.2069,28225182.0,
Malawi,MWI,2020,0.36,1489.6014,19377058.0,
Malaysia,MYS,2020,0.21,25830.973,33199988.0,
Mauritania,MRT,2020,0.32,5314.8496,4498605.0,
Mexico,MEX,2020,0.34,18327.99,125998296.0,
Moldova,MDA,2020,0.2,12201.778,3084848.0,
Morocco,MAR,2020,0.33,7545.995,36688768.0,
Niger,NER,2020,0.41,1214.5465,24333644.0,
Nigeria,NGA,2020,0.39,4865.087,208327408.0,
North America,,2020,,,594263186.0,
Oceania,,2020,,,43933757.0,
Pakistan,PAK,2020,0.27,5004.352,227196736.0,
Palestine,PSE,2020,0.37,5402.5386,5019407.0,
Philippines,PHL,2020,0.31,7773.2603,112190984.0,
Russia,RUS,2020,0.23,26583.797,145617328.0,
Sao Tome and Principe,STP,2020,0.22,4058.674,218650.0,
Saudi Arabia,SAU,2020,0.28,42891.688,35997108.0,
Serbia,SRB,2020,0.22,18265.967,7358010.0,
Somalia,SOM,2020,0.34,1127.4186,16537018.0,
South America,,2020,,,431530105.0,
South Korea,KOR,2020,0.22,42396.76,51844688.0,
Sudan,SDN,2020,0.28,3874.8003,44440484.0,
Tajikistan,TJK,2020,0.3,3651.9421,9543211.0,
Tanzania,TZA,2020,0.38,2551.2063,61704520.0,
Thailand,THA,2020,0.26,16848.584,71475664.0,
Ukraine,UKR,2020,0.23,12407.79,43909664.0,
United States,USA,2020,0.17,60167.855,335942016.0,
Zambia,ZMB,2020,0.36,3183.651,18927716.0,
Zimbabwe,ZWE,2020,0.31,1990.3195,15669663.0,
