Entity,Code,Year,Average cost of drugs spent per patient starting multidrug-resistant tuberculosis treatment
Brazil,BRA,2017,2834
Brazil,BRA,2018,3332
Brazil,BRA,2019,1695
Brazil,BRA,2020,765
Brazil,BRA,2021,6725
Brazil,BRA,2022,3388
Cote d'Ivoire,CIV,2019,643
Cote d'Ivoire,CIV,2020,1318
Mongolia,MNG,2017,2500
Mongolia,MNG,2018,2610
Mongolia,MNG,2019,2610
Mongolia,MNG,2020,1853
Mongolia,MNG,2021,1300
Mongolia,MNG,2022,1320
Peru,PER,2017,1226
Peru,PER,2018,1477
Peru,PER,2019,1521
Peru,PER,2020,1468
Peru,PER,2021,1497
Peru,PER,2022,1238
Turkmenistan,TKM,2020,1005
Turkmenistan,TKM,2021,1005
Turkmenistan,TKM,2022,1005
