Entity,Code,Year,Deaths in under-fives
Afghanistan,AFG,1950,104691
Afghanistan,AFG,1960,112067
Afghanistan,AFG,1970,124258
Afghanistan,AFG,1980,129815
Afghanistan,AFG,1990,78170
Afghanistan,AFG,2000,119609
Afghanistan,AFG,2010,90385
Afghanistan,AFG,2019,81352
India,IND,1950,3710092
India,IND,1960,4330312
India,IND,1970,3924708
India,IND,1980,3748618
India,IND,1990,2843205
India,IND,2000,2130583
India,IND,2010,1512850
India,IND,2019,840908
Yemen,YEM,1950,111619
Yemen,YEM,1960,108117
Yemen,YEM,1970,106362
Yemen,YEM,1980,96814
Yemen,YEM,1990,87296
Yemen,YEM,2000,75788
Yemen,YEM,2010,59530
Yemen,YEM,2019,44236
