Entity,Code,Year,Under-five mortality rate,Population (historical estimates),Continent
Africa,,2021,,1393676724.0,
Argentina,ARG,2021,0.69181985,45276788.0,
Asia,,2021,,4693332132.0,
Bangladesh,BGD,2021,2.727363,169356240.0,
Brazil,BRA,2021,1.4410983,214326224.0,
China,CHN,2021,0.69345915,1425893504.0,
Democratic Republic of Congo,COD,2021,7.8960543,95894120.0,
Ethiopia,ETH,2021,4.6811466,120283024.0,
Europe,,2021,0.4408454,746417727.0,
India,IND,2021,3.0619214,1407563904.0,
Indonesia,IDN,2021,2.2173412,273753184.0,
Iran,IRN,2021,1.2631342,87923432.0,
Niger,NER,2021,11.515188,25252722.0,
North America,,2021,0.61332315,597123384.0,
Oceania,,2021,2.0269809,44492065.0,
Pakistan,PAK,2021,6.333255,231402112.0,
San Marino,SMR,2021,0.17172202,33772.0,
South America,,2021,,434254167.0,
United States,USA,2021,0.624298,336997632.0,
Western Sahara,ESH,2021,,565590.0,
