Entity,Code,Year,Share of social protection in government expenditure (OECD (2017))
Australia,AUS,2007,27.91
Australia,AUS,2008,30.87
Australia,AUS,2009,26.4
Australia,AUS,2010,26.8
Australia,AUS,2011,27.02
Australia,AUS,2012,27.16
Australia,AUS,2013,27.71
Australia,AUS,2014,28.23
Australia,AUS,2015,28.19
Colombia,COL,2009,27.2
Colombia,COL,2010,26.79
Colombia,COL,2011,26.98
Colombia,COL,2012,27.75
Colombia,COL,2013,27.15
Colombia,COL,2014,27.2
Costa Rica,CRI,2012,24.87
Costa Rica,CRI,2013,25.43
Costa Rica,CRI,2014,25.35
Denmark,DNK,2007,43.28
Denmark,DNK,2008,42.84
Denmark,DNK,2009,42.93
Denmark,DNK,2010,43.82
Denmark,DNK,2011,43.76
Denmark,DNK,2012,42.41
Denmark,DNK,2013,43.93
Denmark,DNK,2014,43.46
Denmark,DNK,2015,43.02
Finland,FIN,2007,40.93
Finland,FIN,2008,40.22
Finland,FIN,2009,41.43
Finland,FIN,2010,41.65
Finland,FIN,2011,41.66
Finland,FIN,2012,42.32
Finland,FIN,2013,43.1
Finland,FIN,2014,43.8
Finland,FIN,2015,44.91
Italy,ITA,2007,37.47
Italy,ITA,2008,37.86
Italy,ITA,2009,38.73
Italy,ITA,2010,39.8
Italy,ITA,2011,40.06
Italy,ITA,2012,40.33
Italy,ITA,2013,41.39
Italy,ITA,2014,41.76
Italy,ITA,2015,42.59
South Korea,KOR,2007,15.18
South Korea,KOR,2008,15.15
South Korea,KOR,2009,14.81
South Korea,KOR,2010,16.38
South Korea,KOR,2011,16.48
South Korea,KOR,2012,17.26
South Korea,KOR,2013,18.44
South Korea,KOR,2014,19.41
Spain,ESP,2007,32.94
Spain,ESP,2008,33.46
Spain,ESP,2009,34.97
Spain,ESP,2010,36.34
Spain,ESP,2011,36.74
Spain,ESP,2012,36.52
Spain,ESP,2013,39.46
Spain,ESP,2014,39.41
Spain,ESP,2015,39.12
United Kingdom,GBR,2007,34.98
United Kingdom,GBR,2008,33.58
United Kingdom,GBR,2009,35.55
United Kingdom,GBR,2010,35.64
United Kingdom,GBR,2011,36.43
United Kingdom,GBR,2012,37.39
United Kingdom,GBR,2013,37.91
United Kingdom,GBR,2014,37.82
United Kingdom,GBR,2015,38.38
United States,USA,2007,18.16
United States,USA,2008,19.61
United States,USA,2009,20.13
United States,USA,2010,21.05
United States,USA,2011,20.67
United States,USA,2012,20.46
United States,USA,2013,20.9
United States,USA,2014,20.67
United States,USA,2015,20.79
