Entity,Code,Year,"Deaths that are from all causes attributed to unsafe water source per 100,000 people, in both sexes aged age-standardized"
Cook Islands,COK,1990,4.316228
Cook Islands,COK,1995,3.3929813
Cook Islands,COK,2000,2.7263134
Cook Islands,COK,2005,2.3229437
Cook Islands,COK,2010,2.0132446
Cook Islands,COK,2015,1.8586947
Cook Islands,COK,2019,1.7369876
India,IND,1990,230.46164
India,IND,1995,193.66743
India,IND,2000,166.69954
India,IND,2005,126.58265
India,IND,2010,97.85066
India,IND,2015,70.5167
India,IND,2019,57.195183
Liberia,LBR,1990,171.28047
Liberia,LBR,1995,192.45961
Liberia,LBR,2000,166.49138
Liberia,LBR,2005,114.68224
Liberia,LBR,2010,90.4306
Liberia,LBR,2015,74.080864
Liberia,LBR,2019,60.495705
