Entity,Code,Year,12.5.1 - Proportion of electronic waste recycled (%) - EN_EWT_RCYR
Central and Southern Asia (UN),,2010,0.0
Central and Southern Asia (UN),,2012,0.0
Central and Southern Asia (UN),,2014,0.0
Central and Southern Asia (UN),,2016,0.47
Central and Southern Asia (UN),,2018,4.71
Central and Southern Asia (UN),,2019,4.69
Eastern and South-Eastern Asia (UN),,2010,8.59
Eastern and South-Eastern Asia (UN),,2012,5.78
Eastern and South-Eastern Asia (UN),,2014,12.47
Eastern and South-Eastern Asia (UN),,2016,13.05
Eastern and South-Eastern Asia (UN),,2018,12.68
Eastern and South-Eastern Asia (UN),,2019,12.48
Europe and Northern America (UN),,2010,27.94
Europe and Northern America (UN),,2012,27.93
Europe and Northern America (UN),,2014,29.37
Europe and Northern America (UN),,2016,32.38
Europe and Northern America (UN),,2018,31.85
Europe and Northern America (UN),,2019,31.81
Latin America and the Caribbean (UN),,2010,0.99
Latin America and the Caribbean (UN),,2012,0.98
Latin America and the Caribbean (UN),,2014,1.31
Latin America and the Caribbean (UN),,2016,1.35
Latin America and the Caribbean (UN),,2018,1.3
Latin America and the Caribbean (UN),,2019,1.3
Sub-Saharan Africa (UN),,2010,0.34
Sub-Saharan Africa (UN),,2012,0.74
Sub-Saharan Africa (UN),,2014,0.69
Sub-Saharan Africa (UN),,2016,3.48
Sub-Saharan Africa (UN),,2018,4.37
Sub-Saharan Africa (UN),,2019,4.28
World,OWID_WRL,2010,15.73
World,OWID_WRL,2012,14.32
World,OWID_WRL,2014,16.97
World,OWID_WRL,2016,18.42
World,OWID_WRL,2018,17.76
World,OWID_WRL,2019,17.5
