Entity,Code,Year,lib_vdem_owid,lib_vdem_low_owid,lib_vdem_high_owid
Argentina,ARG,1789,0.231,0.168,0.283
Argentina,ARG,1850,0.253,0.172,0.323
Argentina,ARG,1900,0.639,0.576,0.719
Argentina,ARG,1950,0.469,0.393,0.541
Argentina,ARG,2000,0.757,0.705,0.826
Argentina,ARG,2022,0.746,0.696,0.821
Australia,AUS,1789,0.29,0.235,0.357
Australia,AUS,1850,0.772,0.712,0.841
Australia,AUS,1950,0.951,0.931,0.977
Australia,AUS,2000,0.971,0.961,0.989
Australia,AUS,2022,0.965,0.952,0.983
Botswana,BWA,1900,0.374,0.333,0.413
Botswana,BWA,1950,0.395,0.352,0.438
Botswana,BWA,2000,0.865,0.831,0.915
Botswana,BWA,2022,0.785,0.727,0.84
China,CHN,1789,0.045,0.021,0.063
China,CHN,1850,0.045,0.021,0.063
China,CHN,1900,0.076,0.043,0.103
China,CHN,1950,0.093,0.053,0.124
China,CHN,2000,0.213,0.152,0.256
China,CHN,2022,0.139,0.099,0.176
