Entity,Code,Year,"4.5.1 - Adjusted gender parity index for completion rate, by location, wealth quintile and education level - SE_AGP_CPRA - Lower secondary - All areas - Total (national average) or no breakdown"
Djibouti,DJI,2000,0.52
Djibouti,DJI,2005,0.61
Djibouti,DJI,2010,0.7
Fiji,FJI,2000,1.08
Fiji,FJI,2005,1.07
Fiji,FJI,2010,1.06
Fiji,FJI,2015,1.05
Fiji,FJI,2021,1.11
Uruguay,URY,2000,1.09
Uruguay,URY,2005,1.09
Uruguay,URY,2010,1.21
Uruguay,URY,2015,1.17
Uruguay,URY,2021,1.07
Vietnam,VNM,2000,0.88
Vietnam,VNM,2005,0.98
Vietnam,VNM,2010,1.05
Vietnam,VNM,2015,1.03
Vietnam,VNM,2021,1.06
Yemen,YEM,2000,0.41
Yemen,YEM,2005,0.52
Yemen,YEM,2010,0.64
