Entity,Code,Year,Prevalence of anemia among pregnant women (%)
East Asia and Pacific (WB),,2000,33.653725
East Asia and Pacific (WB),,2005,30.507475
East Asia and Pacific (WB),,2010,27.259369
East Asia and Pacific (WB),,2015,26.219685
East Asia and Pacific (WB),,2019,26.185093
Europe and Central Asia (WB),,2000,23.896425
Europe and Central Asia (WB),,2005,22.802242
Europe and Central Asia (WB),,2010,22.15409
Europe and Central Asia (WB),,2015,22.392107
Europe and Central Asia (WB),,2019,22.828262
Latin America and Caribbean (WB),,2000,28.546986
Latin America and Caribbean (WB),,2005,26.846472
Latin America and Caribbean (WB),,2010,24.047998
Latin America and Caribbean (WB),,2015,22.267868
Latin America and Caribbean (WB),,2019,21.850145
Middle East and North Africa (WB),,2000,35.633007
Middle East and North Africa (WB),,2005,34.05156
Middle East and North Africa (WB),,2010,32.194557
Middle East and North Africa (WB),,2015,31.090528
Middle East and North Africa (WB),,2019,30.758886
North America (WB),,2000,9.88742
North America (WB),,2005,9.626731
North America (WB),,2010,10.391673
North America (WB),,2015,11.195927
North America (WB),,2019,11.902668
South Asia (WB),,2000,51.949574
South Asia (WB),,2005,51.148407
South Asia (WB),,2010,49.923374
South Asia (WB),,2015,48.459175
South Asia (WB),,2019,47.6602
Sub-Saharan Africa (WB),,2000,50.384415
Sub-Saharan Africa (WB),,2005,49.38021
Sub-Saharan Africa (WB),,2010,47.54532
Sub-Saharan Africa (WB),,2015,46.46862
Sub-Saharan Africa (WB),,2019,45.83317
World,OWID_WRL,2000,40.9
World,OWID_WRL,2005,39.5
World,OWID_WRL,2010,37.6
World,OWID_WRL,2015,36.6
World,OWID_WRL,2019,36.5
