Entity,Code,Year,"N06A-Antidepressants (Consumption: DDD per 1,000 inhabitants per day)"
Australia,AUS,2017,109.3
Australia,AUS,2020,122.2
Belgium,BEL,2017,78.8
Belgium,BEL,2020,83.8
Canada,CAN,2017,104.4
Canada,CAN,2020,122.0
Canada,CAN,2021,130.4
Chile,CHL,2017,42.0
Chile,CHL,2020,67.0
Chile,CHL,2021,90.7
Denmark,DNK,2017,75.7
Denmark,DNK,2020,80.7
Denmark,DNK,2021,84.6
Finland,FIN,2017,70.5
Finland,FIN,2020,81.5
Germany,DEU,2017,56.9
Germany,DEU,2020,62.2
Greece,GRC,2017,55.1
Greece,GRC,2020,65.8
Greece,GRC,2021,70.6
Iceland,ISL,2017,138.6
Iceland,ISL,2020,153.4
Iceland,ISL,2021,161.1
Israel,ISR,2017,49.2
Israel,ISR,2020,55.4
Israel,ISR,2021,57.7
Italy,ITA,2017,40.4
Italy,ITA,2020,43.7
Italy,ITA,2021,44.4
Netherlands,NLD,2017,46.2
Netherlands,NLD,2020,47.3
Norway,NOR,2017,57.3
Norway,NOR,2020,58.7
Norway,NOR,2021,61.1
Portugal,PRT,2017,103.8
Portugal,PRT,2020,131.0
Portugal,PRT,2021,139.6
Spain,ESP,2017,77.2
Spain,ESP,2020,86.9
Spain,ESP,2021,92.0
Sweden,SWE,2017,96.9
Sweden,SWE,2020,105.4
Sweden,SWE,2021,108.9
Turkey,TUR,2017,43.5
Turkey,TUR,2020,48.9
United Kingdom,GBR,2017,107.9
