Entity,Code,Year,"Homicide rate per 100,000 population - Male - All ages"
Americas (UN),,2000,27.929867
Americas (UN),,2005,26.70108
Americas (UN),,2010,30.176449
Americas (UN),,2015,28.964785
Americas (UN),,2021,26.87314
Asia (UN),,2000,4.702821
Asia (UN),,2005,4.1218753
Asia (UN),,2010,3.6187088
Asia (UN),,2015,3.2449572
Asia (UN),,2021,3.1660497
Europe (UN),,2000,11.81765
Europe (UN),,2005,9.929269
Europe (UN),,2010,5.153707
Europe (UN),,2015,5.195797
Europe (UN),,2021,3.3873734
Oceania (UN),,2000,3.8750572
Oceania (UN),,2005,3.9061868
Oceania (UN),,2010,3.5092127
Oceania (UN),,2015,3.7338703
Oceania (UN),,2021,4.102716
World,OWID_WRL,2000,10.950296
World,OWID_WRL,2005,10.086804
World,OWID_WRL,2010,9.70247
World,OWID_WRL,2015,9.497246
World,OWID_WRL,2021,9.306462
