Entity,Code,Year,Food as share of total consumer expenditure,Total consumer expenditure,Continent
Algeria,DZA,2021,37.25587,1648.0647,
Angola,AGO,2021,49.737926,1322.1558,
Argentina,ARG,2021,23.198097,6443.1685,
Australia,AUS,2021,9.974969,32475.715,
Azerbaijan,AZE,2021,43.555817,2809.143,
Bahrain,BHR,2021,13.064381,9485.243,
Bangladesh,BGD,2021,52.749126,1499.9324,
Belarus,BLR,2021,32.121384,3671.2693,
Belgium,BEL,2021,13.478635,24189.252,
Bolivia,BOL,2021,29.18861,2261.037,
Brazil,BRA,2021,16.252525,4442.8306,
Bulgaria,BGR,2021,19.334064,6924.803,
Cambodia,KHM,2021,42.712593,1279.3658,
Cameroon,CMR,2021,45.21058,1196.5359,
Chile,CHL,2021,18.504671,9763.548,
China,CHN,2021,19.952589,4680.1055,
Costa Rica,CRI,2021,31.579697,8411.837,
Czechia,CZE,2021,16.136227,12067.872,
Dominican Republic,DOM,2021,26.796751,6247.196,
Ecuador,ECU,2021,26.310055,3740.6025,
Egypt,EGY,2021,37.588936,3642.3933,
Estonia,EST,2021,20.17674,12992.181,
Ethiopia,ETH,2021,41.309013,592.4403,
Guatemala,GTM,2021,34.604183,4291.291,
Honduras,HND,2021,31.932835,2229.999,
India,IND,2021,32.083492,1391.5947,
Ireland,IRL,2021,9.241572,23240.537,
Israel,ISR,2021,15.958162,25044.266,
Italy,ITA,2021,15.501358,20439.045,
Kazakhstan,KAZ,2021,49.421284,5168.118,
Kenya,KEN,2021,56.078693,1578.82,
Laos,LAO,2021,50.623756,1729.6198,
Lebanon,LBN,2021,21.0206,2864.3027,
Myanmar,MMR,2021,56.626648,885.8045,
Norway,NOR,2021,12.482959,32792.06,
Pakistan,PAK,2021,39.57528,970.06726,
Panama,PAN,2021,15.680728,7937.2373,
Qatar,QAT,2021,12.284774,14488.974,
Russia,RUS,2021,29.03056,6046.52,
Tanzania,TZA,2021,27.379164,656.87555,
Tunisia,TUN,2021,24.192238,2677.411,
Turkmenistan,TKM,2021,36.870106,840.93097,
Uganda,UGA,2021,44.24747,663.0901,
United States,USA,2021,6.689246,45898.055,
Venezuela,VEN,2021,18.609703,250.79521,
