Entity,Code,Year,Total greenhouse gas emissions per capita including land-use change and forestry
Brazil,BRA,1990,10.902719
Brazil,BRA,1995,10.575706
Brazil,BRA,2000,10.313878
Brazil,BRA,2005,10.797317
Brazil,BRA,2010,10.811521
Brazil,BRA,2015,6.7249484
Brazil,BRA,2020,6.8933654
China,CHN,1990,2.5070636
China,CHN,1995,3.2520447
China,CHN,2000,3.3396988
China,CHN,2005,5.3139215
China,CHN,2010,7.330102
China,CHN,2015,7.962372
China,CHN,2020,8.628931
India,IND,1990,1.1719311
India,IND,1995,1.2904354
India,IND,2000,1.41464
India,IND,2005,1.708924
India,IND,2010,2.0806236
India,IND,2015,2.299151
India,IND,2020,2.2679598
United Kingdom,GBR,1990,13.309808
United Kingdom,GBR,1995,12.499662
United Kingdom,GBR,2000,11.925054
United Kingdom,GBR,2005,11.440497
United Kingdom,GBR,2010,9.67829
United Kingdom,GBR,2015,7.8648515
United Kingdom,GBR,2020,6.1306777
United States,USA,1990,21.963312
United States,USA,1995,21.688955
United States,USA,2000,22.68273
United States,USA,2005,21.500145
United States,USA,2010,19.484684
United States,USA,2015,17.575426
United States,USA,2020,15.744175
