Entity,Code,Year,DALYs (Disability-Adjusted Life Years) - All causes - Sex: Both - Age: All Ages (Number)
African Region (WHO),,1990,492987774.37
African Region (WHO),,1995,545292846.64
African Region (WHO),,2000,601298190.84
African Region (WHO),,2005,604526285.42
African Region (WHO),,2010,566200447.4
African Region (WHO),,2015,532608919.42
African Region (WHO),,2019,507566166.18
Eastern Mediterranean Region (WHO),,1990,219992285.06
Eastern Mediterranean Region (WHO),,1995,224217890.08
Eastern Mediterranean Region (WHO),,2000,225731035.04
Eastern Mediterranean Region (WHO),,2005,234147033.02
Eastern Mediterranean Region (WHO),,2010,234468803.97
Eastern Mediterranean Region (WHO),,2015,243957190.69
Eastern Mediterranean Region (WHO),,2019,240605308.9
European Region (WHO),,1990,312236213.01
European Region (WHO),,1995,336184507.99
European Region (WHO),,2000,324233165.73
European Region (WHO),,2005,326120385.56
European Region (WHO),,2010,307207984.22
European Region (WHO),,2015,302886339.76
European Region (WHO),,2019,303019420.34
Region of the Americas (WHO),,1990,251257811.72
Region of the Americas (WHO),,1995,253128450.49
Region of the Americas (WHO),,2000,254741951.25
Region of the Americas (WHO),,2005,262240902.89
Region of the Americas (WHO),,2010,286484042.33
Region of the Americas (WHO),,2015,288324653.77
Region of the Americas (WHO),,2019,303581016.8
South-East Asia Region (WHO),,1990,780114683.57
South-East Asia Region (WHO),,1995,748669956.11
South-East Asia Region (WHO),,2000,732588501.81
South-East Asia Region (WHO),,2005,701583414.98
South-East Asia Region (WHO),,2010,682404849.51
South-East Asia Region (WHO),,2015,656708907.06
South-East Asia Region (WHO),,2019,652783882.2
Western Pacific Region (WHO),,1990,532317980.27
Western Pacific Region (WHO),,1995,515458981.35
Western Pacific Region (WHO),,2000,498967487.19
Western Pacific Region (WHO),,2005,494655628.26
Western Pacific Region (WHO),,2010,493954186.09
Western Pacific Region (WHO),,2015,503165087.29
Western Pacific Region (WHO),,2019,524790952.4
