Entity,Code,Year,HALF Index (habitable land area) (Alexander et al. (2016)),"Meat, beef | 00002731 || Food available for consumption | 0645pc || kilograms per year per capita",Population (historical estimates),Continent
Africa,,2009,,6.090748,1028200528.0,
Africa,,2011,,6.278793,1082676070.0,
Albania,ALB,2011,91.1,14.793133,2900660.0,
Albania,ALB,2009,,21.192657,2930553.0,
Argentina,ARG,2011,161.8,49.25193,41520736.0,
Argentina,ARG,2009,,53.68428,40684344.0,
Asia,,2009,,4.1358676,4171339685.0,
Asia,,2011,,4.1787767,4268479060.0,
Australia,AUS,2011,158.0,42.118187,22357032.0,
Australia,AUS,2009,,39.178654,21660898.0,
Azerbaijan,AZE,2011,68.3,12.410938,9359018.0,
Azerbaijan,AZE,2009,,10.10966,9119630.0,
Bangladesh,BGD,2011,14.9,1.2024441,150211008.0,
Bangladesh,BGD,2009,,1.3247775,146706816.0,
Bermuda,BMU,2011,156.0,,63554.0,
Bermuda,BMU,2009,,35.076923,63375.0,
Brazil,BRA,2011,124.2,38.818264,198185296.0,
Brazil,BRA,2009,,37.630356,194517552.0,
Cameroon,CMR,2011,35.4,4.2120996,20448880.0,
Cameroon,CMR,2009,,5.7129965,19319276.0,
Canada,CAN,2011,129.8,28.07514,34323536.0,
Canada,CAN,2009,,30.945848,33593920.0,
Chad,TCD,2011,39.7,23.07076,12317729.0,
Chad,TCD,2009,,7.932701,11496138.0,
Chile,CHL,2011,76.8,19.14714,17173568.0,
Chile,CHL,2009,,20.935345,16833450.0,
China,CHN,2011,40.2,4.5034795,1357095424.0,
China,CHN,2009,,4.692094,1339125632.0,
Cuba,CUB,2011,49.6,6.056737,11298713.0,
Cuba,CUB,2009,,6.613407,11283184.0,
Czechia,CZE,2011,73.8,9.23981,10496379.0,
Czechia,CZE,2009,,9.739897,10421515.0,
Eswatini,SWZ,2011,50.2,15.206513,1105379.0,
Eswatini,SWZ,2009,,16.705715,1094890.0,
Europe,,2009,,16.231375,736013515.0,
Europe,,2011,,15.130808,738734474.0,
France,FRA,2011,122.1,25.675774,62775272.0,
France,FRA,2009,,26.43404,62093300.0,
Germany,DEU,2011,98.7,13.570594,81423384.0,
Germany,DEU,2009,,12.846894,81260624.0,
Greece,GRC,2011,114.2,18.095972,11004730.0,
Greece,GRC,2009,,19.163382,11055503.0,
Guatemala,GTM,2011,30.2,11.065526,14833458.0,
Guatemala,GTM,2009,,5.739061,14259415.0,
Iceland,ISL,2011,119.7,12.948,319308.0,
Iceland,ISL,2009,,11.493967,318809.0,
India,IND,2011,22.2,1.1731193,1257621248.0,
India,IND,2009,,1.5561935,1223640192.0,
Italy,ITA,2011,116.6,21.347132,60025952.0,
Italy,ITA,2009,,23.850267,59562844.0,
Japan,JPN,2011,42.7,8.87396,128007256.0,
Japan,JPN,2009,,8.697819,128117040.0,
Kazakhstan,KAZ,2011,108.5,22.226042,16864920.0,
Kazakhstan,KAZ,2009,,20.781002,16402365.0,
Lithuania,LTU,2011,69.4,3.456636,3099800.0,
Lithuania,LTU,2009,,4.8766193,3180482.0,
Mexico,MEX,2011,65.3,16.763796,114150480.0,
Mexico,MEX,2009,,17.560516,111049424.0,
Mongolia,MNG,2011,139.8,16.999897,2743946.0,
Mongolia,MNG,2009,,18.72702,2666718.0,
New Zealand,NZL,2011,191.2,21.200998,4381274.0,
New Zealand,NZL,2009,,27.688843,4302884.0,
North America,,2009,,29.832396,537567761.0,
North America,,2011,,27.92091,548684151.0,
Norway,NOR,2011,106.8,19.068554,4953565.0,
Norway,NOR,2009,,19.557522,4829195.0,
Oceania,,2009,,34.94824,36448615.0,
Oceania,,2011,,28.775911,37730469.0,
Panama,PAN,2011,75.7,21.118704,3688679.0,
Panama,PAN,2009,,19.566599,3559339.0,
Philippines,PHL,2011,27.9,4.394688,96337912.0,
Philippines,PHL,2009,,4.33989,92946952.0,
Poland,POL,2011,56.4,2.845191,38620848.0,
Poland,POL,2009,,4.111112,38555288.0,
Romania,ROU,2011,65.2,7.021493,20220286.0,
Romania,ROU,2009,,8.019438,20466318.0,
Russia,RUS,2011,81.7,15.507942,143364544.0,
Russia,RUS,2009,,17.453936,143163648.0,
South America,,2009,,30.93098,389045327.0,
South America,,2011,,30.940617,397135158.0,
South Korea,KOR,2011,58.2,13.547657,49169880.0,
South Korea,KOR,2009,,11.697266,48588024.0,
Spain,ESP,2011,79.4,12.920215,46729232.0,
Spain,ESP,2009,,14.03177,46367772.0,
United Kingdom,GBR,2011,94.66197183,18.12235,63286360.0,
United Kingdom,GBR,2009,,19.415846,62243384.0,
United States,USA,2011,137.6478873,36.951492,313876608.0,
United States,USA,2009,,39.73582,308512032.0,
Uruguay,URY,2011,104.6,29.865324,3361631.0,
Uruguay,URY,2009,,27.369017,3344161.0,
Uzbekistan,UZB,2011,92.6,25.698647,29057456.0,
Uzbekistan,UZB,2009,,22.11447,28167840.0,
World,OWID_WRL,2011,49.5,9.021266,7073125376.0,
World,OWID_WRL,2009,,9.227496,6898306048.0,
Zambia,ZMB,2011,22.5,10.822595,14265824.0,
Zambia,ZMB,2009,,5.1134005,13318094.0,
Zimbabwe,ZWE,2011,33.0,52.643257,13025789.0,
Zimbabwe,ZWE,2009,,8.243796,12679812.0,
