Entity,Code,Year,All fertilizers use per area of cropland
Afghanistan,AFG,1961,0.14
Afghanistan,AFG,1970,2.42
Afghanistan,AFG,1980,6.35
Afghanistan,AFG,1990,5.54
Afghanistan,AFG,2000,0.64
Afghanistan,AFG,2010,1.75
Afghanistan,AFG,2020,8.43
Cambodia,KHM,1961,1.6999999
Cambodia,KHM,1970,1.22
Cambodia,KHM,1980,3.91
Cambodia,KHM,1990,1.08
Cambodia,KHM,2010,14.809999
Cambodia,KHM,2020,42.19
Greece,GRC,1961,42.9
Greece,GRC,1970,86.1
Greece,GRC,1980,134.22
Greece,GRC,1990,175.44
Greece,GRC,2000,118.32
Greece,GRC,2010,87.45999
Greece,GRC,2020,99.28
