Entity,Code,Year,"Deaths that are from all causes attributed to low physical activity per 100,000 people, in both sexes aged all ages"
East Asia & Pacific (WB),,1990,4.4946785
East Asia & Pacific (WB),,1995,5.1465607
East Asia & Pacific (WB),,2000,5.567536
East Asia & Pacific (WB),,2005,6.6619215
East Asia & Pacific (WB),,2010,7.8977003
East Asia & Pacific (WB),,2015,8.609138
East Asia & Pacific (WB),,2019,9.959777
Europe & Central Asia (WB),,1990,21.166964
Europe & Central Asia (WB),,1995,21.768515
Europe & Central Asia (WB),,2000,21.705502
Europe & Central Asia (WB),,2005,21.377577
Europe & Central Asia (WB),,2010,21.15468
Europe & Central Asia (WB),,2015,21.091623
Europe & Central Asia (WB),,2019,23.412132
Latin America & Caribbean (WB),,1990,8.335928
Latin America & Caribbean (WB),,1995,8.597786
Latin America & Caribbean (WB),,2000,8.643444
Latin America & Caribbean (WB),,2005,9.467077
Latin America & Caribbean (WB),,2010,10.32123
Latin America & Caribbean (WB),,2015,11.152567
Latin America & Caribbean (WB),,2019,12.21339
Middle East & North Africa (WB),,1990,14.272257
Middle East & North Africa (WB),,1995,14.788427
Middle East & North Africa (WB),,2000,15.175321
Middle East & North Africa (WB),,2005,16.196465
Middle East & North Africa (WB),,2010,16.730207
Middle East & North Africa (WB),,2015,18.394514
Middle East & North Africa (WB),,2019,19.875195
North America (WB),,1990,17.755842
North America (WB),,1995,21.08609
North America (WB),,2000,20.919373
North America (WB),,2005,16.210545
North America (WB),,2010,14.657313
North America (WB),,2015,13.201388
North America (WB),,2019,11.766698
South Asia (WB),,1990,4.167863
South Asia (WB),,1995,4.4249725
South Asia (WB),,2000,5.0705247
South Asia (WB),,2005,5.3849597
South Asia (WB),,2010,5.998104
South Asia (WB),,2015,7.2293
South Asia (WB),,2019,7.0304523
Sub-Saharan Africa (WB),,1990,3.1853735
Sub-Saharan Africa (WB),,1995,3.3247669
Sub-Saharan Africa (WB),,2000,3.5559683
Sub-Saharan Africa (WB),,2005,3.455714
Sub-Saharan Africa (WB),,2010,3.3597305
Sub-Saharan Africa (WB),,2015,3.3426497
Sub-Saharan Africa (WB),,2019,3.2211752
