Entity,Code,Year,Global Hunger Index (2021),411773-annotations,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Afghanistan,AFG,2021,28.3,,1516.3057,40099460.0,
Africa,,2021,,,,1393676724.0,
Algeria,DZA,2021,6.9,,11039.806,44177964.0,
Asia,,2021,,,,4693332132.0,
Bangladesh,BGD,2021,19.1,,5911.013,169356240.0,
Benin,BEN,2021,22.2,,3321.5522,12996901.0,
Bolivia,BOL,2021,12.7,,8052.1772,12079474.0,
Botswana,BWA,2021,23.2,,14840.913,2588424.0,
Brazil,BRA,2021,2.5,,14592.353,214326224.0,
Burundi,BDI,2021,42.5,Value represents the mid-point of its group in the GHI severity scale,705.0304,12551215.0,
Chile,CHL,2021,2.5,,25449.13,19493184.0,
China,CHN,2021,2.5,,17602.695,1425893504.0,
Comoros,COM,2021,42.5,Value represents the mid-point of its group in the GHI severity scale,3228.5269,821632.0,
Congo,COG,2021,30.3,,3234.393,5835814.0,
Democratic Republic of Congo,COD,2021,39.0,,1073.6433,95894120.0,
East Timor,TLS,2021,32.4,,5032.41,1320944.0,
Egypt,EGY,2021,12.5,,11566.05,109262184.0,
Ethiopia,ETH,2021,24.1,,2319.0684,120283024.0,
Europe,,2021,,,,746417727.0,
Gambia,GMB,2021,17.6,,2076.5664,2639922.0,
Ghana,GHA,2021,14.9,,5435.238,32833036.0,
Haiti,HTI,2021,32.8,,2870.145,11447575.0,
Honduras,HND,2021,12.8,,5572.177,10278346.0,
India,IND,2021,27.5,,6592.042,1407563904.0,
Indonesia,IDN,2021,18.0,,11858.146,273753184.0,
Iran,IRN,2021,7.7,,15004.6875,87923432.0,
Iraq,IRQ,2021,22.8,,8962.395,43533592.0,
Kenya,KEN,2021,23.0,,4743.4863,53005616.0,
Kyrgyzstan,KGZ,2021,8.6,,4814.9565,6527742.0,
Liberia,LBR,2021,33.3,,1423.2296,5193422.0,
Madagascar,MDG,2021,36.3,,1463.6288,28915652.0,
Malawi,MWI,2021,21.3,,1491.1339,19889742.0,
Malaysia,MYS,2021,12.8,,26333.156,33573872.0,
Mexico,MEX,2021,8.5,,19086.105,126705136.0,
Moldova,MDA,2021,5.0,Value represents the mid-point of its group in the GHI severity scale,14009.226,3061509.0,
Morocco,MAR,2021,8.8,,8058.397,37076588.0,
Mozambique,MOZ,2021,31.3,,1226.767,32077074.0,
Myanmar,MMR,2021,17.5,,4032.6257,53798088.0,
Namibia,NAM,2021,20.2,,9137.797,2530150.0,
Niger,NER,2021,27.5,Value represents the mid-point of its group in the GHI severity scale,1186.5768,25252722.0,
Nigeria,NGA,2021,28.3,,4922.6323,213401328.0,
North America,,2021,,,,597123384.0,
Oceania,,2021,,,,44492065.0,
Oman,OMN,2021,12.3,,34294.766,4520474.0,
Pakistan,PAK,2021,24.7,,5232.1426,231402112.0,
Panama,PAN,2021,8.9,,29037.945,4351264.0,
Philippines,PHL,2021,16.8,,8094.693,113880336.0,
Russia,RUS,2021,6.2,,27960.102,145102752.0,
Somalia,SOM,2021,50.8,,1136.736,17065588.0,
South America,,2021,,,,434254167.0,
Sri Lanka,LKA,2021,16.0,,13386.682,21773438.0,
Sudan,SDN,2021,25.1,,3701.069,45657204.0,
Tajikistan,TJK,2021,15.0,Value represents the mid-point of its group in the GHI severity scale,3903.32,9750078.0,
Thailand,THA,2021,11.7,,17077.043,71601104.0,
Turkey,TUR,2021,2.5,,31466.56,84775408.0,
Uganda,UGA,2021,27.5,Value represents the mid-point of its group in the GHI severity scale,2246.414,45853780.0,
Uzbekistan,UZB,2021,5.9,,7734.8325,34081452.0,
Zambia,ZMB,2021,27.5,Value represents the mid-point of its group in the GHI severity scale,3236.789,19473132.0,
