Entity,Code,Year,0-27 days probability of death
Italy,ITA,1950,3.32
Italy,ITA,1960,2.59
Italy,ITA,1970,1.92
Italy,ITA,1980,0.95
Italy,ITA,1990,0.53
Italy,ITA,2000,0.31
Italy,ITA,2010,0.23
Italy,ITA,2019,0.17
Mali,MLI,1950,9.35
Mali,MLI,1960,8.96
Mali,MLI,1970,8.65
Mali,MLI,1980,7.43
Mali,MLI,1990,6.51
Mali,MLI,2000,5.37
Mali,MLI,2010,4.62
Mali,MLI,2019,3.95
Rwanda,RWA,1950,8.0
Rwanda,RWA,1960,7.01
Rwanda,RWA,1970,6.88
Rwanda,RWA,1980,5.78
Rwanda,RWA,1990,4.3
Rwanda,RWA,2000,3.42
Rwanda,RWA,2010,2.54
Rwanda,RWA,2019,1.99
Vietnam,VNM,1950,4.46
Vietnam,VNM,1960,3.9
Vietnam,VNM,1970,3.32
Vietnam,VNM,1980,2.58
Vietnam,VNM,1990,2.17
Vietnam,VNM,2000,1.4
Vietnam,VNM,2010,0.98
Vietnam,VNM,2019,0.68
