Entity,Code,Year,Share of the urban population using safely managed sanitation services,Share of the rural population using safely managed sanitation services,Population (historical estimates),Continent
Algeria,DZA,2022,64.573555,55.997948,,
Bangladesh,BGD,2022,28.75508,32.43919,,
Belarus,BLR,2022,81.49719,48.654762,,
Benin,BEN,2022,3.6358814,1.7839303,,
Bulgaria,BGR,2022,77.17638,61.439335,,
Cambodia,KHM,2022,44.702305,34.06024,,
Canada,CAN,2022,84.01575,83.52928,,
Chad,TCD,2022,32.02123,4.223141,,
China,CHN,2022,84.71241,36.70974,,
Costa Rica,CRI,2022,23.109467,35.600758,,
Cuba,CUB,2022,37.05639,55.952347,,
Democratic Republic of Congo,COD,2022,15.152643,11.170798,,
Ecuador,ECU,2022,30.939423,61.005955,,
Egypt,EGY,2022,72.638374,63.054123,,
Ethiopia,ETH,2022,17.4436,4.22414,,
Fiji,FJI,2022,42.672775,57.327118,,
Georgia,GEO,2022,14.1417055,39.167892,,
Guyana,GUY,2022,34.1118,47.962162,,
High-income countries,,2022,93.24791,82.362785,,
Honduras,HND,2022,40.460888,70.523186,,
Hungary,HUN,2022,90.547455,80.68587,,
Iraq,IRQ,2022,54.678684,47.999104,,
Ireland,IRL,2022,84.84674,70.74745,,
Kyrgyzstan,KGZ,2022,86.256294,96.45762,,
Low-income countries,,2022,33.014584,19.791742,,
Lower-middle-income countries,,2022,44.882244,49.45443,,
Mali,MLI,2022,7.5030274,22.928528,,
Mongolia,MNG,2022,70.29835,56.34844,,
Montenegro,MNE,2022,64.10116,43.051178,,
Myanmar,MMR,2022,52.687878,64.305916,,
Palestine,PSE,2022,74.64878,54.656464,,
Philippines,PHL,2022,56.183453,68.77627,,
Serbia,SRB,2022,22.382689,29.349905,,
Somalia,SOM,2022,44.51521,21.823364,,
Thailand,THA,2022,29.954433,22.229656,,
Togo,TGO,2022,7.1280255,4.6815634,,
Tunisia,TUN,2022,88.856415,62.914307,,
Turkey,TUR,2022,77.96261,81.10842,,
Tuvalu,TUV,2022,34.695263,42.054623,,
Uganda,UGA,2022,22.366142,16.17708,,
Uzbekistan,UZB,2022,63.376774,85.91551,,
Vietnam,VNM,2022,40.832836,45.447613,,
World,OWID_WRL,2022,64.77038,45.858997,,
