Entity,Code,Year,Maternal Mortality Ratio (Gapminder (2010) and World Bank (2015))
El Salvador,SLV,2000,73.0
Paraguay,PRY,2000,194.0
Tonga,TON,2000,77.0
United Kingdom,GBR,1847,597.45
United Kingdom,GBR,1860,473.24
United Kingdom,GBR,1880,408.57
United Kingdom,GBR,1900,474.4
United Kingdom,GBR,1920,455.71
United Kingdom,GBR,1940,298.63
United Kingdom,GBR,1960,39.49
United Kingdom,GBR,1980,10.89
United Kingdom,GBR,2000,6.8
United States,USA,1900,850.0
United States,USA,1920,799.0
United States,USA,1940,376.0
United States,USA,1960,37.1
United States,USA,1980,9.2
United States,USA,2000,9.8
United States,USA,2020,23.8
