Entity,Code,Year,"Share of total deaths that are from all causes attributed to high body-mass index, in both sexes aged age-standardized"
Gambia,GMB,1990,3.0240407
Gambia,GMB,1995,3.6838703
Gambia,GMB,2000,4.172122
Gambia,GMB,2005,5.194335
Gambia,GMB,2010,5.8667345
Gambia,GMB,2015,6.496477
Gambia,GMB,2019,7.6607523
Guatemala,GTM,1990,2.7051628
Guatemala,GTM,1995,3.5057385
Guatemala,GTM,2000,4.3209953
Guatemala,GTM,2005,5.556906
Guatemala,GTM,2010,7.3272505
Guatemala,GTM,2015,9.010767
Guatemala,GTM,2019,9.240353
Nicaragua,NIC,1990,7.1794257
Nicaragua,NIC,1995,8.995309
Nicaragua,NIC,2000,10.575208
Nicaragua,NIC,2005,12.165138
Nicaragua,NIC,2010,12.883286
Nicaragua,NIC,2015,13.991419
Nicaragua,NIC,2019,14.705333
Serbia,SRB,1990,14.121532
Serbia,SRB,1995,14.764012
Serbia,SRB,2000,14.783126
Serbia,SRB,2005,14.739975
Serbia,SRB,2010,14.874861
Serbia,SRB,2015,15.0503235
Serbia,SRB,2019,15.453425
