Entity,Code,Year,Reported number of people requiring interventions against NTDs
Bangladesh,BGD,2010,102279710.0
Bangladesh,BGD,2012,99041040.0
Bangladesh,BGD,2014,49867144.0
Bangladesh,BGD,2016,47484224.0
Bangladesh,BGD,2018,56339390.0
Bangladesh,BGD,2020,56339390.0
Bangladesh,BGD,2021,56381570.0
China,CHN,2010,52000000.0
China,CHN,2012,25663108.0
China,CHN,2014,25974568.0
China,CHN,2016,26375574.0
China,CHN,2018,26378300.0
China,CHN,2020,621.0
China,CHN,2021,418.0
Haiti,HTI,2010,9603682.0
Haiti,HTI,2012,10905822.0
Haiti,HTI,2014,11358721.0
Haiti,HTI,2016,7581135.0
Haiti,HTI,2018,5771386.0
Haiti,HTI,2020,4363545.0
Haiti,HTI,2021,4447036.0
Sri Lanka,LKA,2010,36329.0
Sri Lanka,LKA,2012,46690.0
Sri Lanka,LKA,2014,50804.0
Sri Lanka,LKA,2016,57572.0
Sri Lanka,LKA,2018,55489.0
Sri Lanka,LKA,2020,34529.0
Sri Lanka,LKA,2021,26092.0
