Entity,Code,Year,Deaths - Diabetes mellitus - Sex: Both - Age: Age-standardized (Rate)
Belgium,BEL,1990,11.78
Belgium,BEL,1995,10.75
Belgium,BEL,2000,9.98
Belgium,BEL,2005,8.82
Belgium,BEL,2010,7.66
Belgium,BEL,2015,6.45
Belgium,BEL,2019,6.45
Cameroon,CMR,1990,37.59
Cameroon,CMR,1995,42.6
Cameroon,CMR,2000,50.37
Cameroon,CMR,2005,53.77
Cameroon,CMR,2010,54.17
Cameroon,CMR,2015,53.11
Cameroon,CMR,2019,51.0
Tuvalu,TUV,1990,91.22
Tuvalu,TUV,1995,101.83
Tuvalu,TUV,2000,113.84
Tuvalu,TUV,2005,121.85
Tuvalu,TUV,2010,116.62
Tuvalu,TUV,2015,117.82
Tuvalu,TUV,2019,117.72
