Entity,Code,Year,Outbound Tourism Expenditure (adjusted for US 2021 inflation)
Brazil,BRA,1995,6029914000
Brazil,BRA,2000,6127504000
Brazil,BRA,2005,6549062000
Brazil,BRA,2010,19839132000
Brazil,BRA,2015,19843396000
Brazil,BRA,2021,5250000000
Iceland,ISL,1995,501455550
Iceland,ISL,2000,741154200
Iceland,ISL,2005,1359763000
Iceland,ISL,2010,760510460
Iceland,ISL,2015,1100949900
Iceland,ISL,2021,756000000
South Korea,KOR,1995,11275637000
South Korea,KOR,2000,11222743000
South Korea,KOR,2005,21376027000
South Korea,KOR,2010,23319835000
South Korea,KOR,2015,28889932000
South Korea,KOR,2021,16683000000
United Kingdom,GBR,1995,44323690000
United Kingdom,GBR,2000,66297897000
United Kingdom,GBR,2005,91922740000
United Kingdom,GBR,2010,81620670000
United Kingdom,GBR,2015,88613320000
United Kingdom,GBR,2021,27331000000
