Entity,Code,Year,Period life expectancy at birth - Sex: all - Age: 0,Population (historical estimates),Continent
Africa,,2021,61.6609,1393676724.0,
Asia,,2021,72.5321,4693332132.0,
Brazil,BRA,2021,72.7504,214326224.0,
Chad,TCD,2021,52.5254,17179744.0,
China,CHN,2021,78.2107,1425893504.0,
Ethiopia,ETH,2021,64.9748,120283024.0,
Europe,,2021,77.0336,746417727.0,
Germany,DEU,2021,80.6301,83408560.0,
India,IND,2021,67.2398,1407563904.0,
Indonesia,IDN,2021,67.5703,273753184.0,
Iran,IRN,2021,73.8749,87923432.0,
Mexico,MEX,2021,70.2127,126705136.0,
Monaco,MCO,2021,85.9463,36713.0,
North America,,2021,,597123384.0,
Oceania,,2021,79.4444,44492065.0,
Russia,RUS,2021,69.419,145102752.0,
South Africa,ZAF,2021,62.341,59392256.0,
South America,,2021,,434254167.0,
Thailand,THA,2021,78.7154,71601104.0,
United States,USA,2021,77.1982,336997632.0,
Vietnam,VNM,2021,73.6181,97468024.0,
