Entity,Code,Year,"DALYs that are from all causes attributed to lead exposure, in both sexes aged all ages"
Brazil,BRA,1990,290722.66
Brazil,BRA,1995,303128.94
Brazil,BRA,2000,306967.4
Brazil,BRA,2005,304594.25
Brazil,BRA,2010,302603.16
Brazil,BRA,2015,292306.47
Brazil,BRA,2019,291910.72
China,CHN,1990,4455343.5
China,CHN,1995,4634541.5
China,CHN,2000,5015453.5
China,CHN,2005,5424201.0
China,CHN,2010,5558056.0
China,CHN,2015,5661752.5
China,CHN,2019,5657904.0
France,FRA,1990,97638.06
France,FRA,1995,92835.47
France,FRA,2000,90644.89
France,FRA,2005,80284.33
France,FRA,2010,71389.336
France,FRA,2015,65549.92
France,FRA,2019,63334.695
Germany,DEU,1990,98870.016
Germany,DEU,1995,93513.25
Germany,DEU,2000,84482.39
Germany,DEU,2005,75063.54
Germany,DEU,2010,69158.305
Germany,DEU,2015,67610.29
Germany,DEU,2019,65272.977
India,IND,1990,4504481.5
India,IND,1995,4971808.5
India,IND,2000,5564244.5
India,IND,2005,5727155.5
India,IND,2010,6449848.0
India,IND,2015,6848774.0
India,IND,2019,6964017.5
Indonesia,IDN,1990,493913.28
Indonesia,IDN,1995,535678.25
Indonesia,IDN,2000,594462.44
Indonesia,IDN,2005,675773.9
Indonesia,IDN,2010,711630.1
Indonesia,IDN,2015,722622.9
Indonesia,IDN,2019,711529.56
Japan,JPN,1990,78737.086
Japan,JPN,1995,75451.39
Japan,JPN,2000,70163.83
Japan,JPN,2005,66541.086
Japan,JPN,2010,61768.418
Japan,JPN,2015,56946.023
Japan,JPN,2019,54500.85
Nigeria,NGA,1990,120232.84
Nigeria,NGA,1995,138727.53
Nigeria,NGA,2000,160251.75
Nigeria,NGA,2005,160436.73
Nigeria,NGA,2010,154213.23
Nigeria,NGA,2015,158628.0
Nigeria,NGA,2019,162719.12
Russia,RUS,1990,145664.83
Russia,RUS,1995,217917.95
Russia,RUS,2000,242204.7
Russia,RUS,2005,264628.56
Russia,RUS,2010,213600.45
Russia,RUS,2015,177151.17
Russia,RUS,2019,159732.42
United Kingdom,GBR,1990,88618.0
United Kingdom,GBR,1995,78863.54
United Kingdom,GBR,2000,66335.97
United Kingdom,GBR,2005,52517.137
United Kingdom,GBR,2010,42009.836
United Kingdom,GBR,2015,37213.95
United Kingdom,GBR,2019,35994.3
United States,USA,1990,512797.44
United States,USA,1995,487507.7
United States,USA,2000,454652.4
United States,USA,2005,410619.28
United States,USA,2010,365675.5
United States,USA,2015,354386.66
United States,USA,2019,347834.97
