Entity,Code,Year,Time spent in study (Eurostat),Population (historical estimates),Continent
Belgium,BEL,2000,14.019471,10264351.0,
Belgium,BEL,2010,35.0,10877948.0,
Estonia,EST,2000,7.0146141,1396881.0,
Estonia,EST,2010,21.0,1331535.0,
Europe,,2000,,727917165.0,
Europe,,2010,,737406197.0,
Finland,FIN,2000,15.126051,5176208.0,
Finland,FIN,2010,24.016678,5363279.0,
France,FRA,2000,15.020863,58665456.0,
France,FRA,2010,26.0,62444568.0,
Germany,DEU,2000,13.054394,81551680.0,
Germany,DEU,2010,19.0,81325088.0,
Italy,ITA,2000,12.025053,56966400.0,
Italy,ITA,2010,26.0,59822452.0,
Norway,NOR,2000,14.029228,4491204.0,
Norway,NOR,2010,28.019457,4889747.0,
Poland,POL,2000,14.048781,38504432.0,
Poland,POL,2010,23.0,38597356.0,
Spain,ESP,2000,19.026426,40741652.0,
Spain,ESP,2010,27.0,46572776.0,
United Kingdom,GBR,2000,9.0566044,58850044.0,
United Kingdom,GBR,2010,21.984732,62760048.0,
