Entity,Code,Year,Terrorism deaths,Continent
Afghanistan,AFG,2021,4337.0,
Africa,,2021,4872.0,
Albania,ALB,2021,0.0,
Asia,,2021,6488.0,
Barbados,BRB,2021,0.0,
Brazil,BRA,2021,1.0,
Bulgaria,BGR,2021,0.0,
Central African Republic,CAF,2021,62.0,
Dominican Republic,DOM,2021,0.0,
Europe,,2021,16.0,
French Guiana,GUF,2021,0.0,
Guinea-Bissau,GNB,2021,0.0,
Japan,JPN,2021,0.0,
Libya,LBY,2021,13.0,
Luxembourg,LUX,2021,0.0,
Moldova,MDA,2021,0.0,
North America,,2021,42.0,
Norway,NOR,2021,0.0,
Oceania,,2021,0.0,
Saudi Arabia,SAU,2021,0.0,
South America,,2021,108.0,
South Korea,KOR,2021,0.0,
Tunisia,TUN,2021,5.0,
Turkmenistan,TKM,2021,0.0,
United Kingdom,GBR,2021,1.0,
