Entity,Code,Year,Annual CO₂ emissions growth (abs)
Brazil,BRA,1950,12292272.0
Brazil,BRA,2000,12927008.0
Brazil,BRA,2022,-13729024.0
France,FRA,1850,2231376.0
France,FRA,1900,8976808.0
France,FRA,1950,-26772272.0
France,FRA,2000,-5862112.0
France,FRA,2022,-9241824.0
Germany,DEU,1800,168544.0
Germany,DEU,1850,1516896.0
Germany,DEU,1900,23475264.0
Germany,DEU,1950,78533790.0
Germany,DEU,2000,3535936.0
Germany,DEU,2022,-13194240.0
Italy,ITA,1900,318768.0
Italy,ITA,1950,1659536.0
Italy,ITA,2000,4130656.0
Italy,ITA,2022,867392.0
Mexico,MEX,1900,245488.06
Mexico,MEX,1950,1548652.0
Mexico,MEX,2000,5454720.0
Mexico,MEX,2022,43180610.0
South Africa,ZAF,1900,-3187680.0
South Africa,ZAF,1950,445044.0
South Africa,ZAF,2000,3415872.0
South Africa,ZAF,2022,-21573728.0
South Korea,KOR,1950,7358.0
South Korea,KOR,2000,29461888.0
South Korea,KOR,2022,-15075648.0
United Kingdom,GBR,1751,101292.0
United Kingdom,GBR,1800,4485080.0
United Kingdom,GBR,1850,5000024.0
United Kingdom,GBR,1900,5188224.0
United Kingdom,GBR,1950,15683424.0
United Kingdom,GBR,2000,7384064.0
United Kingdom,GBR,2022,-28810688.0
