Entity,Code,Year,gov_transparency,gov_transparency_upper,gov_transparency_lower
Argentina,ARG,1980,0.4675534040079382,0.1405007782807585,0.8210801954350452
Argentina,ARG,1985,0.6320633027724639,0.2631026823307355,0.9809757594141608
Argentina,ARG,1990,1.521437665001424,1.055624508178353,1.995365599882023
Argentina,ARG,1995,2.834425082872781,2.251845898427627,3.420249624056435
Argentina,ARG,2000,4.870051561736987,4.115430404993579,5.75139737591951
Argentina,ARG,2005,4.904951547938209,4.145991361086709,5.724740423072412
Argentina,ARG,2010,1.362588417847223,0.8509171672133315,1.890474518322504
Australia,AUS,1980,1.138859204317865,0.7450818872576822,1.549565659585195
Australia,AUS,1985,2.078335307142125,1.519131967773771,2.626645535642
Australia,AUS,1990,3.378068781188897,2.725116087120866,4.053152973983265
Australia,AUS,1995,3.79860706852126,3.056869962483168,4.514282597339959
Australia,AUS,2000,4.053382096805553,3.17905447003418,4.759858765230619
Australia,AUS,2005,4.456163274017046,3.598414232300736,5.252556475512487
Australia,AUS,2010,-0.6942857320126529,-0.739697125669076,-0.6472492951494855
Botswana,BWA,1980,-0.5517449273570091,-0.6716981298825382,-0.4242745606537809
Botswana,BWA,1985,0.5665571569994451,0.2157451668475255,0.912591260526784
Botswana,BWA,1990,0.2447050857393583,-0.0423280932753487,0.5426116267113997
Botswana,BWA,1995,0.320961488090271,-0.0034367099805488,0.645047820948756
Botswana,BWA,2000,1.495515433860913,1.027761165998156,1.93798437633283
Botswana,BWA,2005,1.877000041250763,1.436056373442921,2.360125687435336
Botswana,BWA,2010,0.962242612427476,0.5372855612262845,1.406275941732722
China,CHN,1980,-0.8415997751581554,-0.9059161845922222,-0.7905546066496226
China,CHN,1985,1.234012404071205,0.8029112996707622,1.639963758502349
China,CHN,1990,1.368074683905629,0.945898235070232,1.796320670103454
China,CHN,1995,1.537161639571843,1.082065225711535,1.986019853306984
China,CHN,2000,1.516983055074162,1.059475698280348,1.933259481598959
China,CHN,2005,1.548147940560179,1.084123637413377,1.971475059216717
China,CHN,2010,1.163182309173318,0.7403765365437677,1.626565731338664
