Entity,Code,Year,Total greenhouse gas emissions per capita including land-use change and forestry,Total carbon dioxide emissions per capita including land-use change and forestry,Continent
Afghanistan,AFG,2020,0.8023661,0.22734132,
Africa,,2020,3.2301629,1.8506442,
Algeria,DZA,2020,6.144989,3.7227569,
Antigua and Barbuda,ATG,2020,12.948895,5.0716505,
Argentina,ARG,2020,8.765426,4.1411285,
Asia,,2020,5.459714,4.1879535,
Australia,AUS,2020,22.805563,14.862844,
Bahrain,BHR,2020,36.65029,21.97664,
Belize,BLZ,2020,17.623331,14.913998,
Brunei,BRN,2020,27.68622,22.388939,
Europe,,2020,7.59741,5.4440713,
Fiji,FJI,2020,-0.8800235,-1.673131,
Grenada,GRD,2020,19.406172,2.5874896,
Guyana,GUY,2020,22.792072,19.593405,
Kuwait,KWT,2020,31.164207,21.169828,
North America,,2020,11.624193,8.793612,
Oceania,,2020,17.199303,11.095341,
Qatar,QAT,2020,43.330833,31.727402,
Solomon Islands,SLB,2020,66.91281,66.015816,
South America,,2020,6.930478,3.842235,
Turkmenistan,TKM,2020,31.052204,10.184879,
