Entity,Code,Year,17.13.1 - Bank capital to assets ratio (%) - FB_BNK_CAPA_ZS
China,CHN,2014,6.86
China,CHN,2016,6.87
China,CHN,2018,7.38
China,CHN,2020,7.54
China,CHN,2021,7.75
Russia,RUS,2008,9.71
Russia,RUS,2010,10.84
Russia,RUS,2012,9.96
Russia,RUS,2014,7.72
Russia,RUS,2016,8.77
Russia,RUS,2018,8.6
Russia,RUS,2020,8.39
United States,USA,2005,8.28
United States,USA,2010,8.8
United States,USA,2012,8.81
United States,USA,2014,9.2
United States,USA,2016,9.33
United States,USA,2018,9.44
United States,USA,2020,8.61
United States,USA,2021,8.62
