Entity,Code,Year,"Death rate per 100,000 people - Cause: Cardiovascular diseases - Sex: Both sexes - Age group: ALLAges"
Cameroon,CMR,2000,136.2
Cameroon,CMR,2005,135.4
Cameroon,CMR,2010,124.75
Cameroon,CMR,2015,112.09
Cameroon,CMR,2019,104.98
Congo,COG,2000,183.72
Congo,COG,2005,145.94
Congo,COG,2010,134.84
Congo,COG,2015,120.84
Congo,COG,2019,117.51
Iraq,IRQ,2000,200.62
Iraq,IRQ,2005,183.02
Iraq,IRQ,2010,175.87
Iraq,IRQ,2015,157.6
Iraq,IRQ,2019,160.08
Micronesia (country),FSM,2000,251.6
Micronesia (country),FSM,2005,274.42
Micronesia (country),FSM,2010,285.34
Micronesia (country),FSM,2015,299.59
Micronesia (country),FSM,2019,326.62
