Entity,Code,Year,Mean income or consumption,"GDP per capita, PPP (constant 2017 international $)",Population (historical estimates),Continent
Africa,,2019,,,1327701380.0,
Asia,,2019,,,4627738749.0,
Australia,AUS,2019,,49379.094,25357168.0,
Belarus,BLR,2019,19.132462,19279.209,9673971.0,
Benin,BEN,2019,,3156.439,12290443.0,
Bolivia,BOL,2019,19.607672,8528.749,11777318.0,
Brazil,BRA,2019,21.11513,14685.128,211782880.0,
Cameroon,CMR,2019,,3756.5095,25782342.0,
Chile,CHL,2019,,24816.611,19039484.0,
China,CHN,2019,14.174434,15977.764,1421864064.0,
Eswatini,SWZ,2019,,8501.267,1169620.0,
Ethiopia,ETH,2019,,2181.659,114120592.0,
Europe,,2019,,,747418251.0,
Greece,GRC,2019,28.479956,29721.586,10574026.0,
Guatemala,GTM,2019,,8671.703,17106338.0,
Honduras,HND,2019,10.123918,5613.6606,9958832.0,
India,IND,2019,4.9689527,6608.624,1383112064.0,
Indonesia,IDN,2019,7.3372326,11857.789,269582880.0,
Kazakhstan,KAZ,2019,,26351.805,18754260.0,
Kiribati,KIR,2019,6.249745,1990.518,124252.0,
Malaysia,MYS,2019,,27674.402,32804024.0,
Mali,MLI,2019,,2219.0466,20567430.0,
Mexico,MEX,2019,,20064.5,125085312.0,
Mozambique,MOZ,2019,2.102978,1285.1848,30285602.0,
Myanmar,MMR,2019,,4829.5366,53040212.0,
Namibia,NAM,2019,,10009.578,2446648.0,
Nicaragua,NIC,2019,,5348.9873,6663919.0,
Niger,NER,2019,,1217.446,23443400.0,
Nigeria,NGA,2019,,5076.368,203304496.0,
North America,,2019,,,590497015.0,
Oceania,,2019,,,43278474.0,
Palestine,PSE,2019,,6245.4487,4909775.0,
Philippines,PHL,2019,,8731.861,110380800.0,
Poland,POL,2019,20.499294,33159.75,38493600.0,
Russia,RUS,2019,23.716806,27254.574,145742288.0,
Rwanda,RWA,2019,,2191.4016,12835029.0,
South Africa,ZAF,2019,,13852.206,58087060.0,
South America,,2019,,,428318218.0,
South Korea,KOR,2019,,42758.59,51803832.0,
Sri Lanka,LKA,2019,9.24845,13639.021,21649664.0,
Sudan,SDN,2019,,4133.1304,43232092.0,
Tanzania,TZA,2019,,2577.6658,59872584.0,
Tonga,TON,2019,,6344.3115,104965.0,
United Kingdom,GBR,2019,55.15668,47362.266,66778660.0,
United States,USA,2019,85.874725,62478.254,334319680.0,
Vietnam,VNM,2019,,10252.005,95776712.0,
Zambia,ZMB,2019,,3372.359,18380478.0,
