Entity,Code,Year,"Death rate per 100,000 people - Cause: Cardiovascular diseases - Sex: Both sexes - Age group: Age-standardized"
China,CHN,2000,298.7208
China,CHN,2005,284.74493
China,CHN,2010,253.64531
China,CHN,2015,226.99515
China,CHN,2019,215.97597
Denmark,DNK,2000,186.5109
Denmark,DNK,2005,151.01932
Denmark,DNK,2010,121.1707
Denmark,DNK,2015,95.65064
Denmark,DNK,2019,84.295296
France,FRA,2000,126.49471
France,FRA,2005,108.501305
France,FRA,2010,87.90198
France,FRA,2015,76.59588
France,FRA,2019,68.72734
India,IND,2000,278.5005
India,IND,2005,249.273
India,IND,2010,246.80844
India,IND,2015,240.45807
India,IND,2019,229.8242
Japan,JPN,2000,104.09179
Japan,JPN,2005,94.39451
Japan,JPN,2010,82.265686
Japan,JPN,2015,70.97833
Japan,JPN,2019,65.30056
Nigeria,NGA,2000,267.68686
Nigeria,NGA,2005,232.06993
Nigeria,NGA,2010,202.81897
Nigeria,NGA,2015,189.72615
Nigeria,NGA,2019,187.3178
Philippines,PHL,2000,275.4517
Philippines,PHL,2005,295.26205
Philippines,PHL,2010,310.21164
Philippines,PHL,2015,327.32907
Philippines,PHL,2019,381.165
South Africa,ZAF,2000,297.47363
South Africa,ZAF,2005,280.11768
South Africa,ZAF,2010,263.9688
South Africa,ZAF,2015,238.8273
South Africa,ZAF,2019,198.10655
Thailand,THA,2000,177.57332
Thailand,THA,2005,140.82225
Thailand,THA,2010,113.42515
Thailand,THA,2015,97.98336
Thailand,THA,2019,96.87513
United States,USA,2000,202.04437
United States,USA,2005,168.29123
United States,USA,2010,136.40784
United States,USA,2015,129.58542
United States,USA,2019,129.80482
