Entity,Code,Year,"14.1.1 - Chlorophyll-a deviations, remote sensing (%) - EN_MAR_CHLDEV"
Africa (UN),,2005,4.05
Africa (UN),,2006,5.96
Africa (UN),,2008,6.07
Africa (UN),,2010,4.24
Africa (UN),,2012,3.51
Africa (UN),,2014,5.35
Africa (UN),,2016,3.37
Africa (UN),,2018,5.29
Africa (UN),,2020,3.96
Africa (UN),,2022,3.84
Asia (UN),,2005,4.77
Asia (UN),,2006,4.83
Asia (UN),,2008,3.91
Asia (UN),,2010,3.72
Asia (UN),,2012,3.66
Asia (UN),,2014,3.32
Asia (UN),,2016,3.6
Asia (UN),,2018,3.13
Asia (UN),,2020,3.65
Asia (UN),,2022,2.48
Europe (UN),,2005,4.91
Europe (UN),,2006,3.96
Europe (UN),,2008,6.04
Europe (UN),,2010,4.72
Europe (UN),,2012,4.61
Europe (UN),,2014,5.5
Europe (UN),,2016,3.68
Europe (UN),,2018,5.07
Europe (UN),,2020,5.09
Europe (UN),,2022,5.57
Northern America (UN),,2005,5.27
Northern America (UN),,2006,5.45
Northern America (UN),,2008,7.06
Northern America (UN),,2010,6.99
Northern America (UN),,2012,6.67
Northern America (UN),,2014,8.29
Northern America (UN),,2016,4.76
Northern America (UN),,2018,6.54
Northern America (UN),,2020,6.64
Northern America (UN),,2022,5.49
Oceania (UN),,2005,2.43
Oceania (UN),,2006,2.92
Oceania (UN),,2008,3.59
Oceania (UN),,2010,4.43
Oceania (UN),,2012,2.33
Oceania (UN),,2014,2.63
Oceania (UN),,2016,1.81
Oceania (UN),,2018,2.18
Oceania (UN),,2020,5.03
Oceania (UN),,2022,3.44
