Entity,Code,Year,wom_civ_libs_vdem_owid,wom_civ_libs_vdem_high_owid,wom_civ_libs_vdem_low_owid
Argentina,ARG,1789,0.097,0.213,0.042
Argentina,ARG,1850,0.249,0.406,0.123
Argentina,ARG,1900,0.512,0.681,0.35
Argentina,ARG,1950,0.759,0.879,0.608
Argentina,ARG,2000,0.82,0.902,0.672
Argentina,ARG,2022,0.808,0.904,0.66
Australia,AUS,1789,0.019,0.055,0.005
Australia,AUS,1850,0.563,0.704,0.382
Australia,AUS,1900,0.672,0.815,0.522
Australia,AUS,1950,0.883,0.945,0.749
Australia,AUS,2000,0.935,0.975,0.866
Australia,AUS,2022,0.922,0.967,0.828
Botswana,BWA,1900,0.116,0.211,0.052
Botswana,BWA,1950,0.131,0.237,0.058
Botswana,BWA,2000,0.838,0.923,0.729
Botswana,BWA,2022,0.767,0.873,0.617
China,CHN,1789,0.029,0.065,0.009
China,CHN,1850,0.029,0.065,0.009
China,CHN,1900,0.029,0.065,0.009
China,CHN,1950,0.064,0.135,0.026
China,CHN,2000,0.359,0.502,0.208
China,CHN,2022,0.354,0.511,0.229
