Entity,Code,Year,Hydro electricity per capita - kWh
Brazil,BRA,1965,301.51108
Brazil,BRA,1970,413.00244
Brazil,BRA,1980,1054.1229
Brazil,BRA,1990,1371.5936
Brazil,BRA,2000,1713.5022
Brazil,BRA,2010,2053.8977
Brazil,BRA,2022,1988.0778
China,CHN,1965,30.527199
China,CHN,1970,29.223234
China,CHN,1980,59.265884
China,CHN,1990,109.85829
China,CHN,2000,175.94348
China,CHN,2010,527.655
China,CHN,2022,913.9081
France,FRA,1965,973.2667
France,FRA,1970,1121.8816
France,FRA,1980,1294.3918
France,FRA,1990,954.92346
France,FRA,2000,1104.2273
France,FRA,2010,980.0692
France,FRA,2022,716.2683
Norway,NOR,1965,13281.017
Norway,NOR,1970,14916.076
Norway,NOR,1980,20464.4
Norway,NOR,1990,28559.729
Norway,NOR,2000,31577.28
Norway,NOR,2010,23874.445
Norway,NOR,2022,24816.334
Sweden,SWE,1965,5985.617
Sweden,SWE,1970,5168.229
Sweden,SWE,1980,7082.494
Sweden,SWE,1990,8481.112
Sweden,SWE,2000,8858.035
Sweden,SWE,2010,7077.5923
Sweden,SWE,2022,6576.709
United States,USA,1965,1048.8701
United States,USA,1970,1265.3844
United States,USA,1980,1263.7899
United States,USA,1990,1178.1544
United States,USA,2000,956.2017
United States,USA,2010,818.4898
United States,USA,2022,735.3457
