Entity,Code,Year,Total government spending per capita
Colombia,COL,2009,3551.1399
Colombia,COL,2010,3680.4399
Colombia,COL,2011,3830.3401
Colombia,COL,2012,4240.1899
Colombia,COL,2013,4669.3599
Colombia,COL,2014,5023.54
Colombia,COL,2015,5170.23
India,IND,2009,1133.5
India,IND,2010,1220.09
India,IND,2011,1312.78
India,IND,2012,1367.0
India,IND,2013,1420.35
India,IND,2014,1517.63
India,IND,2015,1700.78
India,IND,2016,1845.76
Norway,NOR,2009,25558.99
Norway,NOR,2010,26103.42
Norway,NOR,2011,27192.09
Norway,NOR,2012,28067.189
Norway,NOR,2013,29480.07
Norway,NOR,2014,30124.039
Norway,NOR,2015,30263.07
Norway,NOR,2016,32284.32
Poland,POL,2009,8656.9805
Poland,POL,2010,9541.4102
Poland,POL,2011,9904.8203
Poland,POL,2012,10084.92
Poland,POL,2013,10401.02
Poland,POL,2014,10729.85
Poland,POL,2015,11025.77
Poland,POL,2016,11375.97
United Kingdom,GBR,2009,16467.381
United Kingdom,GBR,2010,17172.301
United Kingdom,GBR,2011,16924.08
United Kingdom,GBR,2012,17365.32
United Kingdom,GBR,2013,17440.42
United Kingdom,GBR,2014,17801.5
United Kingdom,GBR,2015,17910.301
United Kingdom,GBR,2016,18055.17
United States,USA,2009,20169.84
United States,USA,2010,20739.48
United States,USA,2011,20796.711
United States,USA,2012,20560.391
United States,USA,2013,20410.4
United States,USA,2014,20741.029
United States,USA,2015,21157.32
