Entity,Code,Year,democracy_bti,Population (historical estimates),region
Africa,,2021,4.795000000000001,1393676724.0,World
Africa,,2022,,,World
Asia,,2021,4.554263565891472,4693332132.0,World
Asia,,2022,,,World
Brazil,BRA,2021,7.05,214326224.0,South America
Brazil,BRA,2022,,,South America
China,CHN,2021,3.233333333333333,1425893504.0,Asia
China,CHN,2022,,,Asia
Ethiopia,ETH,2021,3.783333333333334,120283024.0,Africa
Ethiopia,ETH,2022,,,Africa
Europe,,2021,7.336507936507936,746417727.0,World
Europe,,2022,,,World
Germany,DEU,2021,,83408560.0,Europe
Germany,DEU,2022,,,Europe
India,IND,2021,6.3,1407563904.0,Asia
India,IND,2022,,,Asia
Indonesia,IDN,2021,6.35,273753184.0,Asia
Indonesia,IDN,2022,,,Asia
Japan,JPN,2021,,124612528.0,Asia
Japan,JPN,2022,,,Asia
Mexico,MEX,2021,5.95,126705136.0,North America
Mexico,MEX,2022,,,North America
Nigeria,NGA,2021,4.25,213401328.0,Africa
Nigeria,NGA,2022,,,Africa
North America,,2021,5.963888888888889,597123384.0,World
North America,,2022,,,World
Oceania,,2021,6.1,44492065.0,World
Oceania,,2022,,,World
Pakistan,PAK,2021,3.75,231402112.0,Asia
Pakistan,PAK,2022,,,Asia
Russia,RUS,2021,4.4,145102752.0,Europe
Russia,RUS,2022,,,Europe
South America,,2021,7.043333333333332,434254167.0,World
South America,,2022,,,World
Uruguay,URY,2021,9.95,3426265.0,South America
Uruguay,URY,2022,,,South America
Vanuatu,VUT,2021,,319146.0,Oceania
Vanuatu,VUT,2022,,,Oceania
World,OWID_WRL,2021,5.385036496350364,7909295104.0,World
World,OWID_WRL,2022,,,World
Yemen,YEM,2021,1.5,32981644.0,Asia
Yemen,YEM,2022,,,Asia
