Entity,Code,Year,Renewables (% equivalent primary energy)
Brazil,BRA,1965,27.548725
Brazil,BRA,1970,27.117094
Brazil,BRA,1980,35.243515
Brazil,BRA,1990,44.53114
Brazil,BRA,2000,42.443245
Brazil,BRA,2010,43.85847
Brazil,BRA,2022,48.73519
Philippines,PHL,2000,18.224691
Philippines,PHL,2010,14.875531
Philippines,PHL,2022,12.511821
United Kingdom,GBR,1965,0.5887872
United Kingdom,GBR,1970,0.52578115
United Kingdom,GBR,1980,0.49102554
United Kingdom,GBR,1990,0.68011796
United Kingdom,GBR,2000,1.1345679
United Kingdom,GBR,2010,3.670733
United Kingdom,GBR,2022,19.337606
