Entity,Code,Year,Electricity from coal - TWh
Germany,DEU,1985,312.88
Germany,DEU,1990,310.03998
Germany,DEU,1995,289.14
Germany,DEU,2000,296.68
Germany,DEU,2005,288.14
Germany,DEU,2010,262.89
Germany,DEU,2015,272.2
Germany,DEU,2020,134.6
Germany,DEU,2022,178.94
India,IND,1985,116.039
India,IND,1990,191.633
India,IND,1995,296.292
India,IND,2000,390.23
India,IND,2005,478.48
India,IND,2010,642.97
India,IND,2015,1006.55
India,IND,2020,1143.78
India,IND,2022,1380.1
Japan,JPN,1985,99.33413
Japan,JPN,1990,119.28444
Japan,JPN,1995,168.6008
Japan,JPN,2000,238.24
Japan,JPN,2005,319.2
Japan,JPN,2010,316.85
Japan,JPN,2015,349.64
Japan,JPN,2020,330.78
Japan,JPN,2022,348.48
South Africa,ZAF,1985,135.403
South Africa,ZAF,1990,155.926
South Africa,ZAF,1995,173.551
South Africa,ZAF,2000,181.68
South Africa,ZAF,2005,215.16
South Africa,ZAF,2010,226.63
South Africa,ZAF,2015,211.28
South Africa,ZAF,2020,196.16
South Africa,ZAF,2022,180.78
Sweden,SWE,1990,1.08
Sweden,SWE,1995,2.27
Sweden,SWE,2000,1.64
Sweden,SWE,2005,0.65
Sweden,SWE,2010,1.02
Sweden,SWE,2015,0.39
Sweden,SWE,2020,0.0
Sweden,SWE,2022,0.01
United States,USA,1985,1507.6647
United States,USA,1990,1725.1552
United States,USA,1995,1853.007
United States,USA,2000,1966.27
United States,USA,2005,2012.87
United States,USA,2010,1847.29
United States,USA,2015,1352.4
United States,USA,2020,773.39
United States,USA,2022,831.51
