Entity,Code,Year,Milk | 00001780 || Production | 005510 || tonnes
Australia,AUS,1961,6277000.0
Australia,AUS,1970,7756000.0
Australia,AUS,1980,5565000.0
Australia,AUS,1990,6456000.0
Australia,AUS,2000,10847000.0
Australia,AUS,2010,9023000.0
Australia,AUS,2021,8858135.0
Bangladesh,BGD,1961,915460.0
Bangladesh,BGD,1970,1065315.0
Bangladesh,BGD,1980,1162335.0
Bangladesh,BGD,1990,1593503.0
Bangladesh,BGD,2000,2430569.2
Bangladesh,BGD,2010,3666086.5
Bangladesh,BGD,2021,3578282.8
Belgium,BEL,2000,3691410.0
Belgium,BEL,2010,3075120.0
Belgium,BEL,2021,4477270.0
India,IND,1961,20375000.0
India,IND,1970,20800000.0
India,IND,1980,31560000.0
India,IND,1990,53678000.0
India,IND,2000,79868020.0
India,IND,2010,122067660.0
India,IND,2021,208984430.0
United States,USA,1961,57019696.0
United States,USA,1970,53073200.0
United States,USA,1980,58244000.0
United States,USA,1990,67005000.0
United States,USA,2000,75953490.0
United States,USA,2010,87521070.0
United States,USA,2021,102654616.0
