Entity,Code,Year,World,European Union and United Kingdom,China,United States
Cybersecurity,,2017,2477972877,211647287,799646679,895792147
Cybersecurity,,2018,4071620825,172523985,583572923,1918326970
Cybersecurity,,2019,4110878261,161192831,1962121344,1713555083
Cybersecurity,,2020,3798115473,352707616,519832488,2821490011
Cybersecurity,,2021,4077164559,85748120,1063167893,2810270650
Cybersecurity,,2022,4978670210,217439686,992985857,3578690067
Data management,,2017,4009032159,275908858,1069262050,2301763527
Data management,,2018,5281227419,183793071,1671044273,3132928239
Data management,,2019,6724363615,227069721,1136812833,4196778524
Data management,,2020,6662235896,323175209,1277545545,4627080938
Data management,,2021,9309790185,1242036553,2134058648,5486092409
Data management,,2022,5423724972,219221105,1727359990,2894398654
Drones,,2017,83470232,2847899,0,70120469
Drones,,2018,287005367,23039043,3104257,215519404
Drones,,2019,164010526,43125635,15898409,32483547
Drones,,2020,316193385,12558964,0,83082266
Drones,,2021,613408194,0,30800000,414659796
Drones,,2022,1745272701,39090208,25925254,1483572636
Industrial automation,,2017,830608913,84674899,247661251,377987879
Industrial automation,,2018,2436850665,107278413,1610775811,618679272
Industrial automation,,2019,1861282018,363493023,387531966,913632664
Industrial automation,,2020,2754311822,27417681,179222322,2394809306
Industrial automation,,2021,2372564153,54798028,276271955,1962435906
Industrial automation,,2022,3628084361,1528970761,979711647,802103534
Medical and healthcare,,2017,2643466659,339881508,373718565,1787252592
Medical and healthcare,,2018,5883191498,297563920,502976635,4752017398
Medical and healthcare,,2019,5497100065,1142473179,369221918,3572848788
Medical and healthcare,,2020,7524641500,455859599,548736964,5959282699
Medical and healthcare,,2021,8615669754,1741353900,400878916,5736596464
Medical and healthcare,,2022,5605698104,707457022,235405533,3883317553
Semiconductors,,2017,300236435,113199044,60263475,126773916
Semiconductors,,2018,555802770,73652259,131522869,337907765
Semiconductors,,2019,961561639,588479284,73956988,241891093
Semiconductors,,2020,927619870,52348929,207361436,576267636
Semiconductors,,2021,632603641,85704897,204339955,156558789
Semiconductors,,2022,1532108942,11481184,946096889,536568891
