Entity,Code,Year,democracy_eiu
Argentina,ARG,2006,6.63
Argentina,ARG,2008,6.63
Argentina,ARG,2010,6.840000000000001
Argentina,ARG,2012,6.840000000000001
Argentina,ARG,2014,6.840000000000001
Argentina,ARG,2016,6.959999999999999
Argentina,ARG,2018,7.019999999999999
Argentina,ARG,2020,6.95
Argentina,ARG,2022,6.85
Australia,AUS,2006,9.09
Australia,AUS,2008,9.09
Australia,AUS,2010,9.22
Australia,AUS,2012,9.22
Australia,AUS,2014,9.01
Australia,AUS,2016,9.01
Australia,AUS,2018,9.09
Australia,AUS,2020,8.96
Australia,AUS,2022,8.71
Botswana,BWA,2006,7.6
Botswana,BWA,2008,7.470000000000001
Botswana,BWA,2010,7.63
Botswana,BWA,2012,7.85
Botswana,BWA,2014,7.87
Botswana,BWA,2016,7.87
Botswana,BWA,2018,7.81
Botswana,BWA,2020,7.62
Botswana,BWA,2022,7.73
China,CHN,2006,2.97
China,CHN,2008,3.04
China,CHN,2010,3.14
China,CHN,2012,3.0
China,CHN,2014,3.0
China,CHN,2016,3.14
China,CHN,2018,3.319999999999999
China,CHN,2020,2.27
China,CHN,2022,1.94
