Entity,Code,Year,Cumulative CO₂ emissions from flaring
Brazil,BRA,1950,7328
Brazil,BRA,2000,136320290
Brazil,BRA,2022,472677280
Canada,CAN,1800,0
Canada,CAN,1850,0
Canada,CAN,1900,0
Canada,CAN,1950,0
Canada,CAN,2000,298252100
Canada,CAN,2022,645043900
European Union (27),,1800,0
European Union (27),,1850,0
European Union (27),,1900,0
European Union (27),,1950,0
European Union (27),,2000,314030340
European Union (27),,2022,777753600
United Kingdom,GBR,1750,0
United Kingdom,GBR,1800,0
United Kingdom,GBR,1850,0
United Kingdom,GBR,1900,0
United Kingdom,GBR,1950,0
United Kingdom,GBR,2000,189624600
United Kingdom,GBR,2022,293748770
United States,USA,1800,0
United States,USA,1850,0
United States,USA,1900,0
United States,USA,1950,43121616
United States,USA,2000,1294043600
United States,USA,2022,2449554200
