Entity,Code,Year,Number of children who are stunted (IHME)
Bangladesh,BGD,1990,10139278.83617
Bangladesh,BGD,1995,9818934.44708
Bangladesh,BGD,2000,9408477.556
Bangladesh,BGD,2005,7725652.58619
Bangladesh,BGD,2010,7162002.927309999
Bangladesh,BGD,2016,5465699.5806
Kenya,KEN,1990,1896939.2978900005
Kenya,KEN,1995,1925673.2819799995
Kenya,KEN,2000,2146537.9427399994
Kenya,KEN,2005,2034130.16365
Kenya,KEN,2010,1952000.54448
Kenya,KEN,2016,1677622.1012499998
Malawi,MWI,1990,954363.671
Malawi,MWI,1995,970684.44008
Malawi,MWI,2000,1093044.82464
Malawi,MWI,2005,1190258.65296
Malawi,MWI,2010,1122763.6904400005
Malawi,MWI,2016,1029048.63488
Nigeria,NGA,1990,8757599.9414
Nigeria,NGA,1995,9092284.95063
Nigeria,NGA,2000,9956745.352060003
Nigeria,NGA,2005,11458132.25375
Nigeria,NGA,2010,13721706.243450005
Nigeria,NGA,2016,10653134.486760002
Pakistan,PAK,1990,11390786.5357
Pakistan,PAK,1995,11187901.4456
Pakistan,PAK,2000,10413244.79165
Pakistan,PAK,2005,10458098.14995
Pakistan,PAK,2010,11557425.042870002
Pakistan,PAK,2016,10989855.925
