Entity,Code,Year,Coal (TWh growth)
Australia,AUS,1966,7.3610992
Australia,AUS,1970,2.4166718
Australia,AUS,1980,9.222229
Australia,AUS,1990,10.388916
Australia,AUS,2000,4.218872
Australia,AUS,2010,-47.46698
Australia,AUS,2022,-21.677399
China,CHN,1966,92.807495
China,CHN,1970,413.03955
China,CHN,1980,136.31372
China,CHN,1990,87.614746
China,CHN,2000,112.37402
China,CHN,2010,735.5215
China,CHN,2022,244.01172
Poland,POL,1966,9.269165
Poland,POL,1970,30.27295
Poland,POL,1980,65.8374
Poland,POL,1990,-234.35028
Poland,POL,2000,-52.118713
Poland,POL,2010,37.648315
Poland,POL,2022,-27.720062
Spain,ESP,1966,-8.44339
Spain,ESP,1970,6.094124
Spain,ESP,1980,19.166252
Spain,ESP,1990,-1.3955841
Spain,ESP,2000,15.502808
Spain,ESP,2010,-29.458794
Spain,ESP,2022,11.179947
United States,USA,1966,156.60205
United States,USA,1970,-32.578125
United States,USA,1980,106.6958
United States,USA,1990,28.64209
United States,USA,2000,266.4414
United States,USA,2010,318.16504
United States,USA,2022,-195.67285
World,OWID_WRL,1966,183.91602
World,OWID_WRL,1970,259.87305
World,OWID_WRL,1980,494.07227
World,OWID_WRL,1990,-309.04883
World,OWID_WRL,2000,949.2539
World,OWID_WRL,2010,1793.2812
World,OWID_WRL,2022,289.22266
