Entity,Code,Year,"8.a.1 - Total official flows (commitments) for Aid for Trade, by donor countries (millions of constant 2021 United States dollars) - DC_TOF_TRDCMDL"
Austria,AUT,2005,17340000.0
Austria,AUT,2006,40350000.0
Austria,AUT,2008,75380000.0
Austria,AUT,2010,103840000.0
Austria,AUT,2012,78240000.0
Austria,AUT,2014,69500000.0
Austria,AUT,2016,89230000.0
Austria,AUT,2018,85100000.0
Austria,AUT,2020,245080000.0
Austria,AUT,2021,89490000.0
Portugal,PRT,2005,38800000.0
Portugal,PRT,2006,10410000.0
Portugal,PRT,2008,17830000.0
Portugal,PRT,2010,55730000.0
Portugal,PRT,2012,23210000.0
Portugal,PRT,2014,47350000.0
Portugal,PRT,2016,4770000.0
Portugal,PRT,2018,17890000.0
Portugal,PRT,2020,5170000.0
Portugal,PRT,2021,4130000.0
Sweden,SWE,2005,131060000.0
Sweden,SWE,2006,375700000.0
Sweden,SWE,2008,320670000.0
Sweden,SWE,2010,387130000.0
Sweden,SWE,2012,355150000.0
Sweden,SWE,2014,417280000.0
Sweden,SWE,2016,379660000.0
Sweden,SWE,2018,598940000.0
Sweden,SWE,2020,307020000.0
Sweden,SWE,2021,403990000.0
