Entity,Code,Year,Solar energy capacity - GW
Argentina,ARG,2000,2.5000001e-05
Argentina,ARG,2005,2.6000002e-05
Argentina,ARG,2010,2.6000002e-05
Argentina,ARG,2015,0.008618001
Argentina,ARG,2020,0.76413506
Argentina,ARG,2022,1.104022
Cuba,CUB,2015,0.0238
Cuba,CUB,2020,0.216974
Cuba,CUB,2022,0.257947
Kenya,KEN,2000,0.0
Kenya,KEN,2005,2.0000002e-06
Kenya,KEN,2010,0.00019600001
Kenya,KEN,2015,0.031246
Kenya,KEN,2020,0.14688401
Kenya,KEN,2022,0.307219
Myanmar,MMR,2010,0.00040000002
Myanmar,MMR,2015,0.020819
Myanmar,MMR,2020,0.08449601
Myanmar,MMR,2022,0.103347
Qatar,QAT,2015,0.003967
Qatar,QAT,2020,0.0051
Qatar,QAT,2022,0.8051
Solomon Islands,SLB,2010,3e-06
Solomon Islands,SLB,2015,0.0011260001
Solomon Islands,SLB,2020,0.002419
Solomon Islands,SLB,2022,0.0041290005
Sweden,SWE,2000,0.003
Sweden,SWE,2005,0.004
Sweden,SWE,2010,0.011000001
Sweden,SWE,2015,0.104
Sweden,SWE,2020,1.107
Sweden,SWE,2022,2.6060002
