Entity,Code,Year,Coal - % electricity
China,CHN,1985,63.465252
China,CHN,1990,71.032036
China,CHN,1995,73.670685
China,CHN,2000,78.21334
China,CHN,2005,79.19776
China,CHN,2010,76.85944
China,CHN,2015,69.586624
China,CHN,2020,63.27183
China,CHN,2022,61.00084
India,IND,1985,62.257416
India,IND,1990,66.59408
India,IND,1995,69.36506
India,IND,2000,68.29486
India,IND,2005,67.91574
India,IND,2010,68.58566
India,IND,2015,76.13267
India,IND,2020,72.30237
India,IND,2022,74.279594
Japan,JPN,1985,14.782899
Japan,JPN,1990,13.531984
Japan,JPN,1995,16.678617
Japan,JPN,2000,21.66468
Japan,JPN,2005,27.682625
Japan,JPN,2010,27.408457
Japan,JPN,2015,33.941677
Japan,JPN,2020,33.178864
Japan,JPN,2022,33.7168
United Kingdom,GBR,1985,59.43292
United Kingdom,GBR,1990,64.4071
United Kingdom,GBR,1995,46.27045
United Kingdom,GBR,2000,31.811913
United Kingdom,GBR,2005,33.799423
United Kingdom,GBR,2010,28.160498
United Kingdom,GBR,2015,22.392067
United Kingdom,GBR,2020,1.7595026
United Kingdom,GBR,2022,1.7081174
United States,USA,1985,56.739914
United States,USA,1990,53.364452
United States,USA,1995,51.94379
United States,USA,2000,51.715366
United States,USA,2005,49.885376
United States,USA,2010,44.903183
United States,USA,2015,33.114674
United States,USA,2020,19.128262
United States,USA,2022,19.396488
World,OWID_WRL,1985,37.91585
World,OWID_WRL,1990,37.29
World,OWID_WRL,1995,37.654873
World,OWID_WRL,2000,38.134552
World,OWID_WRL,2005,39.66723
World,OWID_WRL,2010,39.892258
World,OWID_WRL,2015,38.82833
World,OWID_WRL,2020,35.332268
World,OWID_WRL,2022,35.631092
