Entity,Code,Year,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol) - Beverage types: Beer"
Cuba,CUB,1961,1.34
Cuba,CUB,1970,0.9
Cuba,CUB,1980,1.61
Cuba,CUB,1990,1.23
Cuba,CUB,2000,1.32635
Cuba,CUB,2010,1.62
Cuba,CUB,2019,1.77
Ecuador,ECU,1961,0.68
Ecuador,ECU,1970,0.88
Ecuador,ECU,1980,1.78
Ecuador,ECU,1990,1.09
Ecuador,ECU,2000,1.34402
Ecuador,ECU,2010,2.67
Ecuador,ECU,2019,2.32
Honduras,HND,1961,0.6
Honduras,HND,1970,0.86
Honduras,HND,1980,1.05
Honduras,HND,1990,1.35
Honduras,HND,2000,1.27689
Honduras,HND,2010,1.08
Honduras,HND,2019,1.6
Saint Lucia,LCA,1961,0.21
Saint Lucia,LCA,1970,0.99
Saint Lucia,LCA,1980,3.19
Saint Lucia,LCA,1990,2.13
Saint Lucia,LCA,2000,3.22098
Saint Lucia,LCA,2010,3.26
Saint Lucia,LCA,2019,3.21
Tuvalu,TUV,1990,1.27
Tuvalu,TUV,2000,0.91517
Tuvalu,TUV,2010,0.11
Tuvalu,TUV,2019,0.01
