Entity,Code,Year,"Unemployment, total (% of total labor force) (modeled ILO estimate)"
Finland,FIN,1991,6.5
Finland,FIN,1995,17.0
Finland,FIN,2000,11.13
Finland,FIN,2005,8.38
Finland,FIN,2010,8.39
Finland,FIN,2015,9.38
Finland,FIN,2021,7.525
Jordan,JOR,1991,19.513
Jordan,JOR,1995,14.6
Jordan,JOR,2000,13.7
Jordan,JOR,2005,14.8
Jordan,JOR,2010,12.5
Jordan,JOR,2015,13.08
Jordan,JOR,2021,19.252
Oman,OMN,1991,4.011
Oman,OMN,1995,4.099
Oman,OMN,2000,4.094
Oman,OMN,2005,4.181
Oman,OMN,2010,3.991
Oman,OMN,2015,3.392
Oman,OMN,2021,3.122
Palestine,PSE,1991,11.603
Palestine,PSE,1995,11.102
Palestine,PSE,2000,10.63
Palestine,PSE,2005,20.02
Palestine,PSE,2010,21.42
Palestine,PSE,2015,23.0
Palestine,PSE,2021,24.903
Romania,ROU,1991,8.07
Romania,ROU,1995,8.01
Romania,ROU,2000,6.97
Romania,ROU,2005,7.17
Romania,ROU,2010,6.96
Romania,ROU,2015,6.81
Romania,ROU,2021,5.169
Russia,RUS,1991,5.405
Russia,RUS,1995,9.45
Russia,RUS,2000,10.58
Russia,RUS,2005,7.12
Russia,RUS,2010,7.37
Russia,RUS,2015,5.57
Russia,RUS,2021,5.01
South Korea,KOR,1991,2.41
South Korea,KOR,1995,2.06
South Korea,KOR,2000,4.06
South Korea,KOR,2005,3.48
South Korea,KOR,2010,3.32
South Korea,KOR,2015,3.55
South Korea,KOR,2021,3.532
South Sudan,SSD,1991,11.911
South Sudan,SSD,1995,12.0
South Sudan,SSD,2000,12.057
South Sudan,SSD,2005,12.113
South Sudan,SSD,2010,12.177
South Sudan,SSD,2015,12.275
South Sudan,SSD,2021,13.915
